市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
04208,角田市,9980,6980,0.6994,8588,5284,0.5295,0.2144,2147.0,0.306,0.405
04214,東松島市,11608,7873,0.6782,9949,4241,0.3654,0.2627,3044.0,0.387,0.719
04501,涌谷町,5767,3892,0.6749,5309,3121,0.5412,0.226,1310.0,0.335,0.418
39403,越知町,2448,1643,0.6712,2170,1127,0.4604,0.2633,643.0,0.392,0.572
04205,気仙沼市,23398,15546,0.6644,20569,11965,0.5114,0.2876,6741.0,0.433,0.562
04445,加美町,8142,5404,0.6637,7027,4068,0.4996,0.2007,1633.0,0.302,0.402
04215,大崎市,38725,25454,0.6573,34426,16802,0.4339,0.2492,9654.0,0.379,0.574
39401,中土佐町,2882,1873,0.6499,1941,1595,0.5534,0.2755,798.0,0.424,0.498
32201,松江市,59428,38346,0.6453,48776,23665,0.3982,0.2661,15831.0,0.412,0.668
39363,土佐町,1802,1125,0.6243,1133,898,0.4983,0.2306,415.0,0.369,0.463
39212,香美市,10100,6302,0.624,8279,4623,0.4577,0.325,3290.0,0.521,0.71
04207,名取市,18105,10928,0.6036,14851,5507,0.3042,0.2264,4048.0,0.375,0.744
04323,柴田町,11001,6505,0.5913,9030,3021,0.2746,0.2327,2567.0,0.394,0.847
04404,七ヶ浜町,5666,3265,0.5762,5190,2394,0.4225,0.2545,1436.0,0.442,0.602
04202,石巻市,46478,26182,0.5633,38074,14969,0.3221,0.2411,11213.0,0.428,0.749
04401,松島町,5189,2827,0.5448,4766,1860,0.3585,0.2977,1552.0,0.546,0.83
04321,大河原町,6568,3564,0.5426,5701,1359,0.2069,0.2221,1448.0,0.409,1.074
04216,富谷市,10994,5679,0.5166,9198,1716,0.1561,0.233,2597.0,0.451,1.493
04203,塩竈市,17820,8976,0.5037,15258,2564,0.1439,0.261,4614.0,0.518,1.814
39201,高知市,95899,45583,0.4753,70928,24454,0.255,0.2081,19955.0,0.438,0.816
04211,岩沼市,11739,4990,0.4251,10768,2395,0.204,0.1994,2344.0,0.469,0.977
04100,仙台市,256987,105802,0.4117,183887,35311,0.1374,0.2791,71785.0,0.678,2.031
04209,多賀城市,15429,5718,0.3706,12830,825,0.0535,0.2527,3914.0,0.682,4.725
