店舗集合,圏外65歳以上人口,総65歳以上人口,圏外率,前段からの削減人数
S1_supermarketのみ,26580788,35314481,0.7527,
S2_+convenience,19295913,35314481,0.5464,7284875
S3_+drugstore,18839836,35314481,0.5335,456077
S4_全カテゴリ,18241067,35314481,0.5165,598769
