店舗集合,圏外65歳以上人口,総65歳以上人口,圏外率,前段からの削減人数
S1_supermarketのみ,24276339,35306031,0.6876,
S2_+convenience,16375665,35306031,0.4638,7900674
S3_+drugstore,15537729,35306031,0.4401,837936
S4_全カテゴリ,15058980,35306031,0.4265,478749
