市区町村コード,市区町村名,総人口,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,道路距離対象_65歳以上人口,道路距離対象_総人口,圏外65歳以上人口_変種D,圏外率_変種D,圏外総人口_変種D,圏外率_変種D_総人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外総人口_変種A,圏外率_変種A_総人口,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種D,比_農水省÷変種A,比_農水省÷変種C125
01571,豊浦町,3815,1525,313,312.0,1525,3815,1266,0.8302,3023,0.7924,1155,0.7574,2990,0.7837,1508,969,0.6354,0.4188,633.0,0.505,0.553,0.659
10429,東吾妻町,12714,5229,1292,259.0,5229,12714,4341,0.8302,10408,0.8186,4691,0.8971,11358,0.8933,4883,3915,0.7487,0.2139,1124.0,0.258,0.238,0.286
40610,福智町,21127,7981,955,535.0,7981,21127,6624,0.83,17818,0.8434,6885,0.8627,18410,0.8714,7813,5656,0.7087,0.3056,2465.0,0.368,0.354,0.431
08234,鉾田市,45928,15470,4743,209.0,15470,45928,12827,0.8292,38005,0.8275,13506,0.873,39791,0.8664,14494,11675,0.7547,0.2358,3644.0,0.284,0.27,0.312
07542,楢葉町,3706,1388,512,174.0,1388,3706,1150,0.8285,3132,0.8451,1101,0.7932,3007,0.8114,1290,900,0.6484,0.1919,266.0,0.232,0.242,0.296
44208,竹田市,20350,9837,2650,238.0,9837,20350,8150,0.8285,16596,0.8155,8338,0.8476,16884,0.8297,8701,7663,0.779,0.2997,2939.0,0.362,0.354,0.385
46213,西之表市,14652,5587,1198,298.0,5585,14622,4623,0.8278,11884,0.8127,4426,0.7922,11417,0.7792,5233,3832,0.6859,0.4407,2467.0,0.532,0.556,0.643
43364,玉東町,5030,1762,364,310.0,1762,5030,1458,0.8275,3964,0.7881,1543,0.8757,4085,0.8121,1657,1156,0.6561,0.2867,525.0,0.346,0.327,0.437
04341,丸森町,12259,5314,1700,200.0,5314,12259,4397,0.8274,9965,0.8129,4699,0.8843,10807,0.8816,5076,4322,0.8133,0.2378,1259.0,0.287,0.269,0.292
03482,山田町,14299,5736,840,437.0,5736,14295,4742,0.8267,11954,0.8362,4879,0.8506,12242,0.8561,5211,3594,0.6266,0.2761,1586.0,0.334,0.325,0.441
05434,美郷町,18640,7314,2020,232.0,7314,18640,6044,0.8264,15333,0.8226,6459,0.8831,16468,0.8835,7189,5697,0.7789,0.3017,2223.0,0.365,0.342,0.387
19429,鳴沢村,2810,959,198,310.0,959,2810,792,0.8259,2265,0.806,744,0.7758,2300,0.8185,918,538,0.561,0.2129,204.0,0.258,0.274,0.379
03485,普代村,2492,1073,267,257.0,1073,2492,886,0.8257,1976,0.7929,984,0.9171,2242,0.8997,984,878,0.8183,0.3397,362.0,0.411,0.37,0.415
17384,志賀町,18515,8259,1607,329.0,8233,18496,6788,0.8245,14986,0.8102,7174,0.8686,15955,0.8617,7613,6227,0.754,0.1997,1660.0,0.242,0.23,0.265
10523,千代田町,10875,3395,559,389.0,3395,10875,2798,0.8242,8613,0.792,3042,0.896,9581,0.881,3241,2102,0.6191,0.1862,628.0,0.226,0.208,0.301
08442,美浦村,14567,4692,850,353.0,4692,14567,3866,0.824,11334,0.7781,4157,0.886,12737,0.8744,4410,3254,0.6935,0.1616,756.0,0.196,0.182,0.233
03366,西和賀町,5134,2617,712,235.0,2617,5134,2155,0.8235,4248,0.8274,2309,0.8823,4497,0.8759,2321,2209,0.8441,0.2801,734.0,0.34,0.318,0.332
20362,富士見町,14131,5126,989,332.0,5126,14131,4219,0.8231,11386,0.8057,4460,0.8701,12157,0.8603,4577,3963,0.7731,0.2533,1296.0,0.308,0.291,0.328
