市区町村コード,市区町村名,総人口,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,道路距離対象_65歳以上人口,道路距離対象_総人口,圏外65歳以上人口_変種D,圏外率_変種D,圏外総人口_変種D,圏外率_変種D_総人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外総人口_変種A,圏外率_変種A_総人口,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種D,比_農水省÷変種A,比_農水省÷変種C125
39341,本山町,3262,1563,306,327.0,1563,3262,1201,0.7684,2432,0.7456,1206,0.7716,2471,0.7575,1310,855,0.547,0.3137,489.0,0.408,0.407,0.574
21221,海津市,32695,11239,1708,421.0,11239,32695,8636,0.7684,25353,0.7754,9495,0.8448,27620,0.8448,10376,7752,0.6897,0.2305,2595.0,0.3,0.273,0.334
43432,西原村,6368,2014,395,326.0,2014,6368,1546,0.7676,4487,0.7046,1667,0.8277,4965,0.7797,1847,1291,0.641,0.1907,386.0,0.248,0.23,0.298
42321,東彼杵町,7474,2922,630,297.0,2922,7469,2243,0.7676,5578,0.7468,2602,0.8905,6408,0.8574,2828,2147,0.7348,0.4015,1201.0,0.523,0.451,0.546
45208,西都市,28719,10829,1911,363.0,10829,28719,8308,0.7672,21219,0.7388,8595,0.7937,21663,0.7543,9484,7220,0.6667,0.254,2750.0,0.331,0.32,0.381
25425,愛荘町,20893,4595,687,428.0,4595,20893,3525,0.7671,15429,0.7385,3723,0.8102,16262,0.7783,4262,2999,0.6527,0.3091,1420.0,0.403,0.381,0.474
10522,明和町,10860,3300,561,376.0,3300,10860,2531,0.767,8442,0.7773,2794,0.8467,9269,0.8535,3206,1568,0.4752,0.2322,770.0,0.303,0.274,0.489
45205,小林市,43668,16233,3374,308.0,16233,43668,12451,0.767,32291,0.7395,12762,0.7862,33794,0.7739,15040,10109,0.6227,0.2768,4492.0,0.361,0.352,0.445
25214,米原市,37221,11052,1562,453.0,11052,37221,8476,0.7669,26144,0.7024,9396,0.8502,30491,0.8192,10438,7361,0.666,0.3182,3519.0,0.415,0.374,0.478
25443,多賀町,7291,2474,389,407.0,2474,7291,1897,0.7668,4876,0.6688,1942,0.785,5058,0.6937,2233,1641,0.6633,0.341,840.0,0.445,0.434,0.514
20481,池田町,9363,3689,560,422.0,3689,9363,2828,0.7666,7015,0.7492,3080,0.8349,7842,0.8376,3512,2642,0.7162,0.2028,752.0,0.265,0.243,0.283
17386,宝達志水町,12163,4810,776,397.0,4810,12163,3687,0.7665,9158,0.7529,3938,0.8187,9958,0.8187,4483,3361,0.6988,0.1606,770.0,0.209,0.196,0.23
44341,日出町,27603,8453,1336,405.0,8453,27579,6475,0.766,19050,0.6907,6573,0.7776,21529,0.78,7490,4833,0.5717,0.2581,2196.0,0.337,0.332,0.451
01464,和寒町,3192,1411,333,271.0,1411,3192,1080,0.7654,2317,0.7259,1125,0.7973,2448,0.7669,1307,429,0.304,0.3369,476.0,0.44,0.423,1.108
27366,岬町,14716,5961,432,883.0,5961,14716,4562,0.7653,10805,0.7342,4735,0.7943,11577,0.7867,5655,3174,0.5325,0.4188,2498.0,0.547,0.527,0.786
01641,大樹町,5420,1976,464,273.0,1976,5420,1512,0.7652,4104,0.7572,1614,0.8168,4270,0.7878,1838,1283,0.6493,0.2798,555.0,0.366,0.343,0.431
03208,遠野市,25364,10280,2640,249.0,10280,25364,7860,0.7646,18947,0.747,8885,0.8643,21517,0.8483,9385,7102,0.6909,0.2459,2529.0,0.322,0.285,0.356
02412,おいらせ町,24211,6677,1175,364.0,6677,24211,5103,0.7643,17659,0.7294,5493,0.8227,19065,0.7875,6186,4119,0.6169,0.353,2355.0,0.462,0.429,0.572
25383,日野町,21002,6416,855,480.0,6416,21002,4898,0.7634,14219,0.677,5309,0.8275,15592,0.7424,6157,4753,0.7408,0.3124,2007.0,0.409,0.378,0.422
41346,みやき町,25458,8866,1128,503.0,8866,25458,6761,0.7626,18468,0.7254,7213,0.8136,20216,0.7941,8213,5720,0.6452,0.231,2043.0,0.303,0.284,0.358
02321,鰺ヶ沢町,8926,4012,621,413.0,4012,8926,3058,0.7622,6619,0.7415,3317,0.8268,7099,0.7953,3524,2568,0.6401,0.4487,1810.0,0.589,0.543,0.701
12237,山武市,48408,17360,3309,336.0,17360,48408,13226,0.7619,36464,0.7533,14487,0.8345,40022,0.8268,16112,11208,0.6456,0.1908,3307.0,0.25,0.229,0.296
36208,三好市,23624,10896,2358,296.0,10896,23624,8290,0.7608,17587,0.7445,9040,0.8297,18896,0.7999,9733,7570,0.6948,0.3613,3927.0,0.475,0.436,0.52
05207,湯沢市,42108,16927,2515,431.0,16927,42108,12877,0.7607,31306,0.7435,13646,0.8062,33363,0.7923,15523,10449,0.6173,0.3325,5627.0,0.437,0.412,0.539
01407,仁木町,3182,1276,376,217.0,1276,3182,970,0.7602,2309,0.7256,974,0.7633,2288,0.719,1265,775,0.6074,0.4137,530.0,0.544,0.542,0.681
29212,宇陀市,28119,11794,2095,360.0,11794,28119,8965,0.7601,20198,0.7183,9759,0.8275,22637,0.805,10633,7683,0.6514,0.2947,3476.0,0.388,0.356,0.452
02304,蓬田村,2402,1037,152,437.0,1037,2402,788,0.7599,1906,0.7935,804,0.7753,1897,0.7898,1037,751,0.7242,0.4597,495.0,0.605,0.593,0.635
40647,築上町,17173,6564,1120,375.0,6564,17173,4985,0.7594,12555,0.7311,5425,0.8265,14081,0.8199,6401,3768,0.574,0.3552,2332.0,0.468,0.43,0.619
03207,久慈市,33056,11025,2396,294.0,11025,33056,8369,0.7591,24199,0.7321,8758,0.7944,25244,0.7637,10102,7475,0.678,0.3157,3475.0,0.416,0.397,0.466
08225,常陸大宮市,39274,14602,3624,258.0,14602,39274,11079,0.7587,28133,0.7163,12432,0.8514,31991,0.8146,13817,10043,0.6878,0.2668,3903.0,0.352,0.313,0.388
02445,南部町,16834,6715,1076,399.0,6715,16834,5094,0.7586,12970,0.7705,5245,0.7811,13087,0.7774,6253,4104,0.6112,0.4104,2760.0,0.541,0.525,0.671
37208,三豊市,61816,22547,4056,356.0,22524,61721,17082,0.7584,45499,0.7372,18799,0.8338,50279,0.8134,20598,14067,0.6239,0.1882,4247.0,0.248,0.226,0.302
16342,入善町,23826,8746,1715,326.0,8746,23826,6631,0.7582,18022,0.7564,6919,0.7911,19050,0.7995,8085,5869,0.671,0.2419,2124.0,0.319,0.306,0.36
03209,一関市,111939,41318,11844,223.0,41318,111939,31313,0.7579,81369,0.7269,34326,0.8308,90770,0.8109,37123,28127,0.6807,0.2211,9134.0,0.292,0.266,0.325
09215,那須烏山市,24844,9306,2481,240.0,9306,24844,7053,0.7579,19289,0.7764,7824,0.8407,20978,0.8444,8660,6442,0.6922,0.2537,2368.0,0.335,0.302,0.367
15227,胎内市,28518,10267,1254,524.0,10267,28518,7779,0.7577,20115,0.7053,8397,0.8179,21754,0.7628,9685,6579,0.6408,0.198,2031.0,0.261,0.242,0.309
41210,神埼市,30932,9702,1491,416.0,9702,30932,7351,0.7577,23090,0.7465,8026,0.8273,24814,0.8022,9011,5426,0.5593,0.2251,2197.0,0.297,0.272,0.402
39306,馬路村,745,305,76,257.0,305,745,231,0.7574,555,0.745,257,0.8426,610,0.8188,257,201,0.659,0.2598,79.0,0.343,0.308,0.394
15217,妙高市,30389,11328,1698,427.0,11328,30389,8578,0.7572,22229,0.7315,9263,0.8177,24266,0.7985,10579,6679,0.5896,0.2241,2537.0,0.296,0.274,0.38
04424,大衡村,5894,1720,487,226.0,1720,5894,1302,0.757,4643,0.7878,1497,0.8703,5097,0.8648,1720,1260,0.7326,0.1886,322.0,0.249,0.217,0.257
05209,鹿角市,29082,11838,2042,371.0,11838,29082,8959,0.7568,21747,0.7478,9613,0.812,23246,0.7993,11085,6618,0.559,0.3714,4398.0,0.491,0.457,0.664
27382,河南町,15629,4884,411,761.0,4884,15629,3696,0.7568,11582,0.7411,4115,0.8425,12825,0.8206,4527,2622,0.5369,0.4566,2238.0,0.603,0.542,0.85
03402,平泉町,7252,2879,721,256.0,2879,7252,2178,0.7565,5296,0.7303,2454,0.8524,6070,0.837,2711,1962,0.6815,0.1705,487.0,0.225,0.2,0.25
21207,美濃市,19227,6961,922,483.0,6961,19227,5262,0.7559,13795,0.7175,5812,0.8349,15515,0.8069,6333,4028,0.5787,0.2576,1796.0,0.341,0.308,0.445
46221,志布志市,29316,10548,2915,232.0,10548,29314,7967,0.7553,21084,0.7192,8370,0.7935,22153,0.7557,9489,6742,0.6392,0.3655,3842.0,0.484,0.461,0.572
21502,富加町,5655,1813,277,419.0,1813,5655,1369,0.7551,4255,0.7524,1689,0.9316,5313,0.9395,1782,1363,0.7518,0.2516,457.0,0.333,0.27,0.335
01395,ニセコ町,5074,1318,541,156.0,1318,5074,995,0.7549,3971,0.7826,990,0.7511,3877,0.7641,1200,747,0.5668,0.3547,464.0,0.47,0.472,0.626
01331,松前町,6126,3205,374,548.0,3205,6106,2418,0.7544,4577,0.7496,2891,0.902,5503,0.8983,3101,2205,0.688,0.4621,1509.0,0.613,0.512,0.672
29343,三郷町,23123,7453,289,1650.0,7453,23123,5621,0.7542,16552,0.7158,5888,0.79,17323,0.7492,6492,2950,0.3958,0.426,3208.0,0.565,0.539,1.076
24303,木曽岬町,6006,2011,262,491.0,2011,6006,1516,0.7539,4438,0.7389,1546,0.7688,4514,0.7516,2011,1215,0.6042,0.1867,375.0,0.248,0.243,0.309
05215,仙北市,24605,10534,2380,283.0,10534,24605,7935,0.7533,18055,0.7338,8274,0.7855,18878,0.7672,9069,6766,0.6423,0.3384,3565.0,0.449,0.431,0.527
01601,日高町,11279,4081,1069,244.0,4081,11279,3072,0.7528,8341,0.7395,3275,0.8025,8757,0.7764,3851,2687,0.6584,0.3211,1304.0,0.427,0.4,0.488
40227,嘉麻市,35363,14331,1753,523.0,14331,35363,10789,0.7528,26461,0.7483,11662,0.8138,28916,0.8177,13414,8480,0.5917,0.3204,4595.0,0.426,0.394,0.541
12349,東庄町,13102,5162,760,435.0,5162,13102,3885,0.7526,9497,0.7249,4133,0.8007,10187,0.7775,4835,3115,0.6034,0.161,835.0,0.214,0.201,0.267
40604,糸田町,8478,3177,271,750.0,3177,8478,2391,0.7526,6228,0.7346,2583,0.813,7087,0.8359,2864,2090,0.6579,0.3614,1162.0,0.48,0.444,0.549
20212,大町市,26034,9925,1885,337.0,9925,26034,7469,0.7525,19828,0.7616,8358,0.8421,21942,0.8428,9276,5783,0.5827,0.2332,2307.0,0.31,0.277,0.4
07303,国見町,8593,3626,588,395.0,3626,8593,2728,0.7523,6059,0.7051,3094,0.8533,7080,0.8239,3482,2840,0.7832,0.2247,818.0,0.299,0.263,0.287
01345,森町,14276,5520,1004,352.0,5515,14260,4146,0.7518,10283,0.7211,4541,0.8226,11724,0.8212,4930,2950,0.5344,0.278,1538.0,0.37,0.338,0.52
20213,飯山市,19476,7434,1329,358.0,7434,19476,5589,0.7518,14167,0.7274,6145,0.8266,15538,0.7978,7056,4721,0.6351,0.2062,1535.0,0.274,0.249,0.325
21220,下呂市,30428,12299,2282,345.0,12299,30428,9246,0.7518,22587,0.7423,10231,0.8319,24811,0.8154,11163,8742,0.7108,0.3569,4389.0,0.475,0.429,0.502
06212,尾花沢市,14951,6225,1075,371.0,6225,14951,4677,0.7513,10303,0.6891,4850,0.7791,10914,0.73,5341,4285,0.6884,0.1936,1206.0,0.258,0.248,0.281
02408,東北町,16405,6365,1484,275.0,6365,16405,4780,0.751,11987,0.7307,5097,0.8008,12954,0.7896,6000,3893,0.6116,0.4025,2536.0,0.536,0.503,0.658
40601,香春町,10455,4427,613,462.0,4427,10455,3323,0.7506,7954,0.7608,3506,0.792,8229,0.7871,4054,2681,0.6056,0.348,1475.0,0.464,0.439,0.575
01438,沼田町,2909,1242,282,282.0,1242,2909,932,0.7504,1984,0.682,907,0.7303,1966,0.6758,1019,852,0.686,0.3242,402.0,0.432,0.444,0.473
08231,桜川市,39175,13516,2924,296.0,13516,39175,10142,0.7504,28488,0.7272,11283,0.8348,32351,0.8258,13020,8845,0.6544,0.1859,2496.0,0.248,0.223,0.284
43506,湯前町,3632,1609,390,264.0,1609,3632,1207,0.7502,2655,0.731,1321,0.821,2958,0.8144,1441,1062,0.66,0.3209,514.0,0.428,0.391,0.486
20409,平谷村,385,124,52,153.0,124,385,93,0.75,298,0.774,124,1.0,380,0.987,124,76,0.6129,0.4114,54.0,0.549,0.411,0.671
05303,小坂町,4785,2149,368,374.0,2149,4785,1611,0.7497,3384,0.7072,1750,0.8143,3755,0.7847,1941,1460,0.6794,0.3896,836.0,0.52,0.478,0.573
24562,紀宝町,10305,3854,560,440.0,3854,10305,2888,0.7494,7156,0.6944,2928,0.7597,7400,0.7181,3605,2219,0.5758,0.3246,1255.0,0.433,0.427,0.564
01343,鹿部町,3752,1516,292,332.0,1516,3752,1136,0.7493,2631,0.7012,1299,0.8569,3132,0.8348,1396,1065,0.7025,0.3396,515.0,0.453,0.396,0.483
17463,能登町,15374,7742,1524,325.0,7728,15362,5790,0.7492,11172,0.7272,5977,0.772,11692,0.7605,6505,5091,0.6576,0.2416,1911.0,0.323,0.313,0.367
39428,黒潮町,10170,4568,703,416.0,4568,10167,3422,0.7491,7814,0.7686,3868,0.8468,8636,0.8492,3944,3131,0.6854,0.272,1255.0,0.363,0.321,0.397
26213,南丹市,31610,11142,2160,330.0,11142,31610,8333,0.7479,22155,0.7009,8748,0.7851,23807,0.7531,10237,7816,0.7015,0.3756,4183.0,0.502,0.478,0.535
31371,琴浦町,16343,6028,855,451.0,6028,16343,4500,0.7465,11891,0.7276,4844,0.8036,12952,0.7925,5221,3879,0.6435,0.2327,1403.0,0.312,0.29,0.362
34215,江田島市,20964,9182,1137,517.0,9160,20938,6835,0.7462,15206,0.7262,7495,0.8163,16446,0.7845,8305,6240,0.6796,0.4216,4036.0,0.565,0.517,0.62
17204,輪島市,24442,11255,1941,371.0,11246,24430,8390,0.746,17468,0.715,9596,0.8526,20297,0.8304,10185,7414,0.6587,0.3178,3599.0,0.426,0.373,0.482
24211,鳥羽市,16913,6702,690,622.0,6702,16905,4997,0.7456,12286,0.7268,5227,0.7799,12831,0.7586,5892,4531,0.6761,0.3087,2125.0,0.414,0.396,0.457
28224,南あわじ市,43946,15969,2882,355.0,15969,43946,11906,0.7456,32222,0.7332,13149,0.8234,35449,0.8066,14891,10161,0.6363,0.4053,6467.0,0.544,0.492,0.637
01634,鹿追町,5266,1651,486,217.0,1651,5266,1231,0.7456,3937,0.7476,1233,0.7468,4187,0.7951,1468,1035,0.6269,0.227,370.0,0.304,0.304,0.362
06322,西川町,4954,2262,416,348.0,2262,4954,1686,0.7454,3655,0.7378,1828,0.8081,3944,0.7961,2054,1506,0.6658,0.2334,528.0,0.313,0.289,0.351
06365,大蔵村,3019,1180,253,298.0,1180,3019,879,0.7449,2295,0.7602,978,0.8288,2561,0.8483,1134,903,0.7653,0.2358,280.0,0.317,0.285,0.308
02210,平川市,30569,10779,1281,539.0,10779,30569,8027,0.7447,22145,0.7244,8532,0.7915,23758,0.7772,10035,6340,0.5882,0.3695,3982.0,0.496,0.467,0.628
03381,金ケ崎町,15567,4763,1553,196.0,4763,15567,3546,0.7445,11596,0.7449,4055,0.8514,13275,0.8528,4402,3169,0.6653,0.2443,1164.0,0.328,0.287,0.367
03483,岩泉町,8726,3852,1095,225.0,3852,8726,2868,0.7445,6340,0.7266,3049,0.7915,6844,0.7843,3390,2658,0.69,0.3872,1496.0,0.52,0.489,0.561
01665,弟子屈町,6947,2871,694,265.0,2871,6947,2137,0.7443,5139,0.7397,2464,0.8582,5943,0.8555,2724,1819,0.6336,0.3346,955.0,0.45,0.39,0.528
32204,益田市,44927,17014,2810,388.0,17014,44925,12663,0.7443,31443,0.6999,13677,0.8039,33497,0.7456,15271,10457,0.6146,0.3179,5410.0,0.427,0.396,0.517
20383,箕輪町,24968,7163,1041,440.0,7163,24968,5331,0.7442,17426,0.6979,5958,0.8318,19955,0.7992,6693,4413,0.6161,0.1995,1430.0,0.268,0.24,0.324
43215,天草市,73983,30138,4986,387.0,29909,73277,22239,0.7436,50018,0.6826,24142,0.801,56008,0.757,26796,20420,0.6775,0.3836,11897.0,0.516,0.479,0.566
28228,加東市,40701,10979,2055,342.0,10979,40701,8156,0.7429,26819,0.6589,9380,0.8544,33063,0.8123,10199,6221,0.5666,0.3778,4064.0,0.509,0.442,0.667
37406,まんのう町,17390,6671,1811,236.0,6671,17390,4954,0.7426,12864,0.7397,5645,0.8462,14516,0.8347,6120,4171,0.6252,0.2088,1387.0,0.281,0.247,0.334
25212,高島市,46377,16641,2493,427.0,16641,46377,12354,0.7424,32815,0.7076,13653,0.8204,37030,0.7985,15551,10430,0.6268,0.383,6375.0,0.516,0.467,0.611
21401,揖斐川町,19463,7676,1252,392.0,7676,19463,5696,0.7421,14565,0.7483,6423,0.8368,16576,0.8517,7241,5352,0.6972,0.2479,1865.0,0.334,0.296,0.355
40229,みやま市,35620,13587,1970,441.0,13587,35620,10079,0.7418,25189,0.7072,11068,0.8146,27777,0.7798,12143,8964,0.6597,0.2915,4007.0,0.393,0.358,0.442
09211,矢板市,31182,10323,1862,355.0,10323,31182,7653,0.7414,21300,0.6831,7980,0.773,22826,0.732,9113,5616,0.544,0.2499,2583.0,0.337,0.323,0.459
04212,登米市,76024,27022,6039,286.0,27022,76024,20029,0.7412,51823,0.6817,21519,0.7964,57307,0.7538,25027,17768,0.6575,0.2047,5518.0,0.276,0.257,0.311
37207,東かがわ市,28174,11939,1771,431.0,11916,28151,8830,0.741,20871,0.7414,9455,0.7919,22180,0.7873,11417,6204,0.5196,0.2619,3140.0,0.353,0.331,0.504
30406,すさみ町,3653,1782,347,329.0,1782,3643,1320,0.7407,2690,0.7384,1370,0.7688,2806,0.7681,1558,1146,0.6431,0.4124,740.0,0.557,0.536,0.641
05212,大仙市,77647,29923,6219,308.0,29923,77647,22160,0.7406,54202,0.6981,24105,0.8056,59618,0.7678,27039,19260,0.6437,0.3171,9471.0,0.428,0.394,0.493
34209,三次市,50664,18556,4694,253.0,18556,50664,13742,0.7406,34096,0.673,14467,0.7796,36396,0.7184,17136,11724,0.6318,0.269,4959.0,0.363,0.345,0.426
12410,横芝光町,22184,8317,1549,344.0,8317,22184,6150,0.7394,16235,0.7318,6852,0.8239,18024,0.8125,7652,4911,0.5905,0.2045,1696.0,0.277,0.248,0.346
02425,風間浦村,1598,748,110,435.0,721,1569,533,0.7393,1173,0.7476,700,0.9358,1498,0.9374,700,602,0.8048,0.5751,435.0,0.778,0.614,0.715
02301,平内町,9956,4111,592,444.0,4103,9926,3033,0.7392,7196,0.725,3376,0.8212,7957,0.7992,3820,2628,0.6393,0.4603,1917.0,0.623,0.561,0.72
11347,吉見町,18214,6138,999,393.0,6138,18214,4537,0.7392,13192,0.7243,5082,0.828,14823,0.8138,5662,3927,0.6398,0.1954,1201.0,0.264,0.236,0.305
07447,会津美里町,19051,7528,1036,465.0,7528,19051,5563,0.739,13632,0.7156,6200,0.8236,15260,0.801,7152,4883,0.6486,0.2033,1530.0,0.275,0.247,0.313
20422,上松町,4127,1763,317,356.0,1763,4127,1302,0.7385,3134,0.7594,1338,0.7589,3294,0.7982,1698,1117,0.6336,0.319,559.0,0.432,0.42,0.503
37341,三木町,26911,8429,1526,354.0,8429,26911,6223,0.7383,19607,0.7286,6434,0.7633,19998,0.7431,7692,4699,0.5575,0.2428,2050.0,0.329,0.318,0.435
02426,佐井村,1775,858,115,477.0,858,1775,633,0.7378,1270,0.7155,558,0.6503,1122,0.6321,688,528,0.6154,0.5713,490.0,0.774,0.878,0.928
29361,川西町,8214,2826,195,928.0,2826,8214,2085,0.7378,5871,0.7148,2355,0.8333,6610,0.8047,2398,1828,0.6469,0.3123,877.0,0.423,0.375,0.483
17207,羽咋市,20348,8208,1003,524.0,8208,20348,6051,0.7372,14398,0.7076,7102,0.8653,17371,0.8537,7744,5039,0.6139,0.2096,1725.0,0.284,0.242,0.341
20220,安曇野市,94239,29858,4632,413.0,29858,94239,22009,0.7371,68701,0.729,23379,0.783,72787,0.7724,26908,16979,0.5687,0.2105,6302.0,0.286,0.269,0.37
21362,関ケ原町,6603,2646,309,548.0,2646,6603,1950,0.737,4886,0.74,2091,0.7902,5274,0.7987,2646,1580,0.5971,0.318,842.0,0.431,0.402,0.532
06381,高畠町,22455,7594,1360,357.0,7594,22455,5588,0.7358,16158,0.7196,5745,0.7565,16632,0.7407,6601,4509,0.5938,0.1939,1473.0,0.264,0.256,0.327
20561,山ノ内町,11352,4766,659,463.0,4766,11352,3506,0.7356,8373,0.7376,3821,0.8017,9080,0.7999,4280,2664,0.559,0.2448,1166.0,0.333,0.305,0.438
40605,川崎町,15204,5917,701,540.0,5917,15204,4352,0.7355,11135,0.7324,4460,0.7538,11300,0.7432,5217,3569,0.6032,0.328,1946.0,0.446,0.435,0.544
21521,御嵩町,17605,5552,720,494.0,5552,17605,4082,0.7352,12045,0.6842,4655,0.8384,13983,0.7943,5285,3454,0.6221,0.2794,1555.0,0.38,0.333,0.449
15482,津南町,9019,3787,687,353.0,3787,9019,2784,0.7351,6521,0.723,3290,0.8688,7573,0.8397,3392,2713,0.7164,0.3171,1194.0,0.431,0.365,0.443
15226,南魚沼市,54851,18394,2875,409.0,18394,54851,13520,0.735,38542,0.7027,14945,0.8125,43149,0.7867,16667,11896,0.6467,0.2289,4209.0,0.311,0.282,0.354
12236,香取市,72443,26660,4743,360.0,26660,72443,19592,0.7349,51358,0.7089,20974,0.7867,55303,0.7634,23671,15454,0.5797,0.1728,4607.0,0.235,0.22,0.298
38207,大洲市,40499,14911,2715,351.0,14906,40489,10946,0.7343,27848,0.6878,11975,0.8031,30859,0.762,13559,9141,0.613,0.2849,4261.0,0.388,0.355,0.465
01430,月形町,3688,1374,363,242.0,1374,3688,1008,0.7336,2945,0.7985,1178,0.8574,3263,0.8848,1239,979,0.7125,0.3116,429.0,0.425,0.363,0.437
30390,印南町,7693,2849,620,294.0,2849,7693,2089,0.7332,5541,0.7203,2203,0.7733,5696,0.7404,2616,1904,0.6683,0.38,1085.0,0.518,0.491,0.569
02381,板柳町,12737,4826,632,489.0,4826,12737,3535,0.7325,9296,0.7298,3662,0.7588,9404,0.7383,4139,2611,0.541,0.3717,1792.0,0.507,0.49,0.687
07481,棚倉町,13355,4262,822,332.0,4262,13355,3120,0.7321,9530,0.7136,3388,0.7949,10290,0.7705,3844,2451,0.5751,0.1776,756.0,0.243,0.223,0.309
13361,大島町,7095,2713,752,231.0,2713,7095,1985,0.7317,5308,0.7481,2371,0.8739,6211,0.8754,2416,1770,0.6524,0.5547,1505.0,0.758,0.635,0.85
15223,阿賀野市,40726,14034,1881,477.0,14034,40726,10260,0.7311,28614,0.7026,11157,0.795,31211,0.7664,13006,8784,0.6259,0.1349,1891.0,0.185,0.17,0.216
30208,紀の川市,58867,19370,2956,419.0,19370,58867,14162,0.7311,42531,0.7225,15480,0.7992,46415,0.7885,18094,11052,0.5706,0.3035,5903.0,0.415,0.38,0.532
20214,茅野市,56389,17045,2546,428.0,17045,56389,12449,0.7304,38914,0.6901,13450,0.7891,42929,0.7613,15609,9878,0.5795,0.2534,4324.0,0.347,0.321,0.437
01549,訓子府町,4692,1817,534,218.0,1817,4692,1326,0.7298,3556,0.7579,1474,0.8112,3843,0.8191,1751,1192,0.656,0.2449,448.0,0.336,0.302,0.373
25209,甲賀市,88371,24938,3447,463.0,24938,88371,18177,0.7289,63056,0.7135,20557,0.8243,70753,0.8006,23452,15005,0.6017,0.3324,8279.0,0.456,0.403,0.552
30362,広川町,6729,2390,391,391.0,2390,6729,1741,0.7285,4885,0.726,1906,0.7975,5318,0.7903,2390,1464,0.6126,0.3671,886.0,0.504,0.46,0.599
29402,明日香村,5199,2135,291,470.0,2135,5199,1555,0.7283,3727,0.7169,1758,0.8234,4232,0.814,1992,1213,0.5681,0.3199,682.0,0.439,0.388,0.563
08223,潮来市,27607,9084,1372,424.0,9084,27607,6612,0.7279,19798,0.7171,7331,0.807,22215,0.8047,8463,5347,0.5886,0.2355,2138.0,0.323,0.292,0.4
16323,立山町,24858,8302,1555,342.0,8302,24858,6042,0.7278,17804,0.7162,6508,0.7839,19114,0.7689,7779,4946,0.5958,0.2459,2034.0,0.338,0.314,0.413
42214,南島原市,41978,16954,2940,369.0,16917,41899,12309,0.7276,30602,0.7304,13687,0.8073,33775,0.8046,14625,11123,0.6561,0.4368,7473.0,0.6,0.541,0.666
21219,郡上市,38997,14608,3198,292.0,14608,38997,10625,0.7273,29043,0.7447,11812,0.8086,32084,0.8227,13507,9539,0.653,0.2994,4375.0,0.412,0.37,0.458
01401,共和町,5731,1816,584,199.0,1816,5731,1319,0.7263,3974,0.6934,1586,0.8733,4902,0.8553,1645,1306,0.7192,0.3733,682.0,0.514,0.427,0.519
33216,浅口市,32527,11949,1499,510.0,11949,32527,8679,0.7263,22124,0.6802,9887,0.8274,25822,0.7939,10832,6851,0.5734,0.3111,3748.0,0.428,0.376,0.543
04444,色麻町,6711,2339,607,247.0,2339,6711,1698,0.726,4803,0.7157,1820,0.7781,5189,0.7732,2262,1588,0.6789,0.1791,420.0,0.247,0.23,0.264
26203,綾部市,31845,12316,2122,371.0,12316,31845,8934,0.7254,21074,0.6618,10087,0.819,24714,0.7761,11433,8068,0.6551,0.3552,4374.0,0.49,0.434,0.542
35212,柳井市,30570,11902,1767,431.0,11871,30534,8609,0.7252,20079,0.6576,9469,0.7956,22738,0.7438,10722,6723,0.5649,0.2611,3134.0,0.36,0.328,0.462
11365,小鹿野町,10925,4241,933,291.0,4241,10925,3075,0.7251,7646,0.6999,3362,0.7927,8432,0.7718,3831,2770,0.6531,0.218,926.0,0.301,0.275,0.334
39410,日高村,4835,2080,409,325.0,2080,4835,1508,0.725,3611,0.7468,1748,0.8404,4078,0.8434,1945,1118,0.5375,0.1775,368.0,0.245,0.211,0.33
01222,三笠市,8014,3808,495,492.0,3808,8014,2760,0.7248,5722,0.714,3107,0.8159,6474,0.8078,3763,2293,0.6022,0.4662,1780.0,0.643,0.571,0.774
28218,小野市,47589,13857,1653,537.0,13857,47589,10039,0.7245,30993,0.6513,10569,0.7627,33602,0.7061,13093,8109,0.5852,0.3612,5000.0,0.499,0.474,0.617
11361,横瀬町,7974,2626,394,427.0,2626,7974,1901,0.7239,5719,0.7172,2200,0.8378,6718,0.8425,2626,1519,0.5784,0.2305,625.0,0.318,0.275,0.399
43210,菊池市,46291,15728,2195,459.0,15728,46291,11380,0.7236,32105,0.6935,12137,0.7717,34734,0.7503,14461,9601,0.6104,0.2802,4429.0,0.387,0.363,0.459
11363,長瀞町,6795,2698,432,400.0,2698,6795,1952,0.7235,4833,0.7113,2080,0.7709,5190,0.7638,2463,1698,0.6294,0.1996,538.0,0.276,0.259,0.317
04362,山元町,12036,4944,940,337.0,4944,12036,3577,0.7235,8618,0.716,3947,0.7983,9768,0.8116,4823,2954,0.5975,0.2718,1344.0,0.376,0.34,0.455
46208,出水市,51871,17328,3069,361.0,17328,51861,12534,0.7233,35882,0.6919,13517,0.7801,39153,0.7548,15491,9467,0.5463,0.3364,5844.0,0.465,0.431,0.616
32207,江津市,22954,9012,1557,370.0,9012,22954,6512,0.7226,15610,0.6801,7105,0.7884,16918,0.737,8085,5214,0.5786,0.3404,3067.0,0.471,0.432,0.588
46214,垂水市,13643,5852,699,536.0,5827,13583,4210,0.7225,9308,0.6853,4502,0.7693,10032,0.7353,5440,3709,0.6338,0.3933,2320.0,0.544,0.511,0.621
