市区町村コード,市区町村名,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
47362,八重瀬町,6757,675,641.0,2731,0.4042,5353,1538,0.2276,0.2463,1705.0,0.609,1.082
13205,青梅市,42506,1929,1410.0,17081,0.4018,29666,9830,0.2313,0.3765,15997.0,0.937,1.628
27301,島本町,8482,233,2330.0,3407,0.4017,5379,1615,0.1904,0.2695,2288.0,0.671,1.415
14321,寒川町,13145,582,1445.0,5279,0.4016,9776,1075,0.0818,0.3347,4434.0,0.833,4.092
21302,岐南町,5732,452,812.0,2298,0.4009,4679,239,0.0417,0.1724,1004.0,0.43,4.135
23205,半田市,28418,1591,1143.0,11363,0.3999,22783,3040,0.107,0.2376,6792.0,0.594,2.221
13201,八王子市,153512,5336,1841.0,61354,0.3997,112322,19595,0.1276,0.3981,61105.0,0.996,3.119
11231,桶川市,22122,1110,1276.0,8785,0.3971,16785,2357,0.1065,0.2272,5027.0,0.572,2.132
27202,岸和田市,53418,1993,1715.0,21199,0.3969,40689,6515,0.122,0.2978,15933.0,0.75,2.442
34100,広島市,301090,13295,1449.0,119352,0.3964,208166,52991,0.176,0.2517,75728.0,0.635,1.43
30361,湯浅町,4071,344,757.0,1609,0.3952,2340,740,0.1818,0.2765,1131.0,0.7,1.521
34302,府中町,12404,353,2249.0,4893,0.3945,8070,1813,0.1462,0.1899,2387.0,0.481,1.299
01207,帯広市,49008,3338,940.0,19322,0.3943,39743,5293,0.108,0.2184,10699.0,0.554,2.022
25206,草津市,30026,1708,1125.0,11840,0.3943,21575,3076,0.1024,0.3378,10153.0,0.857,3.297
28382,播磨町,9263,338,1754.0,3649,0.3939,6860,753,0.0813,0.2302,2109.0,0.584,2.832
27222,羽曳野市,33499,1016,2110.0,13086,0.3906,25139,3016,0.09,0.2475,8245.0,0.633,2.749
