市区町村コード,市区町村名,総人口,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,道路距離対象_65歳以上人口,道路距離対象_総人口,圏外65歳以上人口,圏外率,圏外総人口,圏外率_総人口,スーパー圏外65歳以上人口,スーパー圏外率,農水省_困難人口割合,農水省_困難人口,比_農水省÷本推計
13421,小笠原村,2917,413,96,275.0,413,2908,413,1.0,2908,1.0,413,1.0,0.7287,301.0,0.729
29447,野迫川村,357,183,75,156.0,183,357,183,1.0,357,1.0,183,1.0,0.4648,84.0,0.465
29452,川上村,1156,640,174,235.0,640,1156,640,1.0,1156,1.0,640,1.0,0.3931,252.0,0.393
40609,赤村,2813,1173,292,257.0,1173,2813,1173,1.0,2813,1.0,1173,1.0,0.2084,233.0,0.208
43507,水上村,2045,921,296,199.0,921,2045,921,1.0,2045,1.0,921,1.0,0.3922,354.0,0.392
47355,粟国村,667,244,51,306.0,244,667,244,1.0,667,1.0,244,1.0,0.6207,154.0,0.621
47357,南大東村,1285,316,154,131.0,316,1285,316,1.0,1285,1.0,316,1.0,0.3631,115.0,0.363
20307,北相木村,752,270,71,243.0,270,752,270,1.0,752,1.0,270,1.0,0.4177,113.0,0.418
32527,知夫村,576,278,58,307.0,270,562,270,1.0,562,1.0,270,1.0,0.6625,188.0,0.663
42383,小値賀町,2239,1162,169,440.0,1095,2160,1095,1.0,2160,1.0,1095,1.0,0.6975,811.0,0.698
46535,与論町,5108,1782,569,200.0,1782,5108,1782,1.0,5108,1.0,1782,1.0,0.6199,1111.0,0.62
01517,礼文町,2331,843,202,267.0,826,2300,826,1.0,2300,1.0,826,1.0,0.5373,489.0,0.537
20412,売木村,548,265,127,134.0,265,548,265,1.0,548,1.0,265,1.0,0.4896,127.0,0.49
46533,和泊町,6218,2257,513,282.0,2257,6218,2257,1.0,6210,0.9987,2257,1.0,0.5456,1237.0,0.546
07445,金山町,1862,1131,245,295.0,1131,1862,1131,1.0,1862,1.0,1131,1.0,0.4982,565.0,0.498
07548,葛尾村,420,194,141,88.0,194,420,194,1.0,420,1.0,194,1.0,0.0323,6.0,0.032
37364,直島町,2999,989,123,515.0,985,2982,985,1.0,2982,1.0,985,1.0,0.4062,417.0,0.406
43512,山江村,3265,1182,287,264.0,1182,3265,1181,0.9992,3242,0.993,1182,1.0,0.3294,385.0,0.33
43513,球磨村,2438,1066,264,258.0,1066,2438,1063,0.9972,2433,0.9979,1066,1.0,0.2544,277.0,0.255
38356,上島町,6318,2881,372,496.0,2867,6277,2857,0.9965,6256,0.9967,2859,0.9972,0.4907,1449.0,0.492
26367,南山城村,2396,1158,282,263.0,1158,2396,1153,0.9957,2387,0.9962,1153,0.9957,0.2846,330.0,0.286
07423,柳津町,3081,1391,279,319.0,1391,3081,1380,0.9921,3026,0.9821,1388,0.9978,0.2642,369.0,0.266
31403,江府町,2672,1311,209,401.0,1311,2672,1299,0.9908,2654,0.9933,1311,1.0,0.3019,396.0,0.305
02424,東通村,5806,2084,460,290.0,2084,5806,2063,0.9899,5748,0.99,2084,1.0,0.5126,1085.0,0.518
10383,南牧村,1610,1043,235,284.0,1043,1610,1030,0.9875,1591,0.9882,1030,0.9875,0.3851,405.0,0.39
11369,東秩父村,2698,1258,326,247.0,1258,2698,1238,0.9841,2632,0.9755,1238,0.9841,0.1573,198.0,0.16
03506,九戸村,5378,2383,592,258.0,2383,5378,2341,0.9824,5311,0.9875,2383,1.0,0.2612,621.0,0.266
20404,阿南町,4300,1936,568,218.0,1936,4300,1902,0.9824,4206,0.9781,1936,1.0,0.2949,576.0,0.3
26364,笠置町,1146,590,98,385.0,590,1146,579,0.9814,1130,0.986,590,1.0,0.3634,211.0,0.37
07564,飯舘村,1318,758,438,111.0,758,1318,743,0.9802,1297,0.9841,758,1.0,0.0413,31.0,0.042
13307,檜原村,2003,1049,261,257.0,1049,2003,1028,0.98,1912,0.9546,1028,0.98,0.4528,479.0,0.462
13381,三宅村,2273,894,253,226.0,894,2273,875,0.9787,2213,0.9736,875,0.9787,0.5896,527.0,0.602
06367,戸沢村,4190,1708,346,316.0,1708,4190,1666,0.9754,3993,0.953,1708,1.0,0.2317,395.0,0.238
20543,高山村,6648,2456,379,415.0,2456,6648,2393,0.9743,6474,0.9738,2456,1.0,0.1607,392.0,0.165
05464,東成瀬村,2712,1015,259,251.0,1015,2712,988,0.9734,2627,0.9687,1015,1.0,0.3535,356.0,0.363
29446,天川村,1176,602,133,290.0,602,1176,586,0.9734,1110,0.9439,586,0.9734,0.3564,213.0,0.366
10428,高山村,3511,1309,381,220.0,1309,3511,1272,0.9717,3404,0.9695,1309,1.0,0.1767,230.0,0.182
20588,小川村,2217,1015,327,199.0,1015,2217,986,0.9714,2165,0.9765,986,0.9714,0.3122,318.0,0.321
29453,東吉野村,1500,880,252,223.0,880,1500,852,0.9682,1440,0.96,880,1.0,0.3848,337.0,0.397
07422,湯川村,3043,1051,189,356.0,1051,3043,1017,0.9676,2926,0.9616,1051,1.0,0.1848,197.0,0.191
43423,南小国町,3708,1506,425,227.0,1506,3708,1456,0.9668,3478,0.938,1466,0.9734,0.3641,550.0,0.377
02387,中泊町,9634,4277,568,482.0,4277,9634,4134,0.9666,9275,0.9627,4263,0.9967,0.4604,1975.0,0.476
10367,神流町,1645,1018,210,310.0,1018,1645,983,0.9656,1597,0.9708,1018,1.0,0.3881,392.0,0.402
45430,椎葉村,2503,1135,442,164.0,1135,2503,1096,0.9656,2429,0.9704,1096,0.9656,0.3588,410.0,0.372
44461,九重町,8561,3878,1071,232.0,3878,8561,3739,0.9642,8257,0.9645,3739,0.9642,0.2682,1035.0,0.278
20414,泰阜村,1545,649,313,133.0,649,1545,625,0.963,1535,0.9935,625,0.963,0.2753,179.0,0.286
21504,七宗町,3361,1559,376,265.0,1559,3361,1501,0.9628,3202,0.9527,1501,0.9628,0.3073,482.0,0.319
28442,市川町,11222,4186,844,317.0,4186,11222,4028,0.9623,10668,0.9506,4118,0.9838,0.3714,1554.0,0.386
07484,鮫川村,3050,1240,491,162.0,1240,3050,1192,0.9613,2915,0.9557,1240,1.0,0.1279,156.0,0.133
02411,六ヶ所村,10398,2645,689,246.0,2639,10381,2536,0.961,8668,0.835,2624,0.9943,0.4825,1263.0,0.502
06366,鮭川村,3893,1578,384,263.0,1578,3893,1513,0.9588,3725,0.9568,1578,1.0,0.1955,309.0,0.204
40401,小竹町,7117,3006,364,529.0,3006,7117,2873,0.9558,6790,0.9541,3000,0.998,0.3778,1141.0,0.395
33681,吉備中央町,10875,4532,1683,172.0,4532,10875,4331,0.9556,10265,0.9439,4420,0.9753,0.3502,1586.0,0.366
02303,今別町,2275,1258,196,411.0,1258,2275,1202,0.9555,2158,0.9486,1258,1.0,0.6002,774.0,0.628
43433,南阿蘇村,9851,4202,1015,265.0,4202,9851,4014,0.9553,9311,0.9452,4098,0.9752,0.298,1252.0,0.312
08447,河内町,8195,3223,728,283.0,3223,8195,3077,0.9547,7783,0.9497,3188,0.9891,0.2164,698.0,0.227
36321,佐那河内村,2058,990,273,232.0,990,2058,945,0.9545,1923,0.9344,990,1.0,0.2954,291.0,0.31
05349,八峰町,6567,3035,463,420.0,3025,6529,2886,0.954,6251,0.9574,3000,0.9917,0.4308,1308.0,0.452
07322,大玉村,8920,2514,762,211.0,2514,8920,2395,0.9527,8412,0.943,2514,1.0,0.1535,377.0,0.161
31401,日南町,4196,2182,722,193.0,2182,4196,2075,0.951,3930,0.9366,2083,0.9546,0.3814,835.0,0.401
03484,田野畑村,3059,1299,462,180.0,1299,3059,1232,0.9484,2880,0.9415,1299,1.0,0.2801,363.0,0.295
33666,美咲町,13072,5419,1741,199.0,5419,13072,5134,0.9474,12032,0.9204,5239,0.9668,0.3205,1737.0,0.338
20425,木祖村,2692,1163,243,306.0,1163,2692,1101,0.9467,2556,0.9495,1101,0.9467,0.2235,261.0,0.236
10366,上野村,1128,518,135,246.0,518,1128,490,0.9459,1073,0.9512,490,0.9459,0.4618,239.0,0.488
04422,大郷町,7859,3029,750,258.0,3029,7859,2864,0.9455,7268,0.9248,3029,1.0,0.1664,502.0,0.176
29451,上北山村,444,234,59,254.0,234,444,221,0.9444,427,0.9617,234,1.0,0.4737,109.0,0.502
45442,日之影町,3640,1629,523,199.0,1629,3640,1538,0.9441,3418,0.939,1571,0.9644,0.3362,557.0,0.356
20303,小海町,4359,1836,337,349.0,1836,4359,1733,0.9439,4142,0.9502,1818,0.9902,0.2456,450.0,0.26
39387,仁淀川町,4820,2673,644,266.0,2673,4820,2522,0.9435,4435,0.9201,2673,1.0,0.3893,1045.0,0.413
24443,大台町,8667,3750,797,301.0,3750,8667,3528,0.9408,8200,0.9461,3643,0.9715,0.2928,1100.0,0.311
07505,古殿町,4817,1901,756,161.0,1901,4817,1788,0.9406,4549,0.9444,1901,1.0,0.1795,340.0,0.191
29449,十津川村,3061,1313,485,173.0,1313,3061,1235,0.9406,2903,0.9484,1313,1.0,0.4221,551.0,0.449
41441,太良町,8051,3150,629,321.0,3145,8024,2955,0.9396,7472,0.9312,3011,0.9574,0.2075,655.0,0.221
09384,塩谷町,10359,4187,1205,222.0,4187,10359,3933,0.9393,9717,0.938,4081,0.9747,0.2133,887.0,0.227
46527,龍郷町,5724,1880,349,345.0,1880,5714,1764,0.9383,5233,0.9158,1779,0.9463,0.4996,952.0,0.532
05366,井川町,4558,1969,284,444.0,1969,4558,1847,0.938,4199,0.9212,1969,1.0,0.3289,650.0,0.351
43484,津奈木町,4149,1752,341,329.0,1752,4147,1643,0.9378,3885,0.9368,1734,0.9897,0.308,551.0,0.328
02443,田子町,4959,2197,497,283.0,2197,4959,2058,0.9367,4590,0.9256,2197,1.0,0.4304,939.0,0.46
20486,小谷村,2647,1024,320,205.0,1024,2647,958,0.9355,2417,0.9131,985,0.9619,0.293,297.0,0.313
10444,川場村,3482,1565,279,359.0,1565,3482,1463,0.9348,3186,0.915,1565,1.0,0.1623,254.0,0.174
18483,おおい町,7862,2540,533,305.0,2540,7862,2372,0.9339,6957,0.8849,2433,0.9579,0.458,1167.0,0.49
