市区町村コード,市区町村名,総人口,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,道路距離対象_65歳以上人口,道路距離対象_総人口,圏外65歳以上人口,圏外率,圏外総人口,圏外率_総人口,スーパー圏外65歳以上人口,スーパー圏外率,農水省_困難人口割合,農水省_困難人口,比_農水省÷本推計
07482,矢祭町,5391,2134,505,270.0,2134,5391,1735,0.813,4576,0.8488,1828,0.8566,0.21,447.0,0.258
19442,小菅村,684,310,70,283.0,310,684,252,0.8129,529,0.7734,310,1.0,0.5264,163.0,0.648
04424,大衡村,5894,1720,487,226.0,1720,5894,1398,0.8128,5042,0.8554,1720,1.0,0.1886,322.0,0.232
28218,小野市,47589,13857,1653,537.0,13857,47589,11255,0.8122,34819,0.7317,12755,0.9205,0.3612,5000.0,0.445
10449,みなかみ町,17205,7012,1530,293.0,7012,17205,5693,0.8119,14109,0.8201,6883,0.9816,0.2244,1574.0,0.276
44341,日出町,27603,8453,1336,405.0,8453,27579,6861,0.8117,20742,0.7521,7674,0.9078,0.2581,2196.0,0.318
39364,大川村,366,143,82,112.0,143,366,116,0.8112,289,0.7896,143,1.0,0.4085,61.0,0.504
34545,神石高原町,8247,4065,1635,159.0,4065,8247,3297,0.8111,6714,0.8141,3342,0.8221,0.3054,1239.0,0.377
02445,南部町,16834,6715,1076,399.0,6715,16834,5446,0.811,13801,0.8198,6325,0.9419,0.4104,2760.0,0.506
35343,田布施町,14458,5238,1014,331.0,5238,14458,4248,0.811,11008,0.7614,4840,0.924,0.1838,961.0,0.227
45441,高千穂町,11641,5038,1195,270.0,5038,11641,4086,0.811,9106,0.7822,4541,0.9013,0.2876,1443.0,0.355
23561,設楽町,4433,2268,611,238.0,2268,4433,1837,0.81,3649,0.8231,1978,0.8721,0.349,790.0,0.431
30427,北山村,404,184,45,262.0,184,404,149,0.8098,323,0.7995,184,1.0,0.5518,100.0,0.681
44210,杵築市,27885,10389,2392,278.0,10389,27831,8413,0.8098,20871,0.7499,9511,0.9155,0.3024,3138.0,0.373
02408,東北町,16405,6365,1484,275.0,6365,16405,5151,0.8093,13100,0.7985,6044,0.9496,0.4025,2536.0,0.497
03402,平泉町,7252,2879,721,256.0,2879,7252,2327,0.8083,5800,0.7998,2700,0.9378,0.1705,487.0,0.211
04212,登米市,76024,27022,6039,286.0,27022,76024,21842,0.8083,57206,0.7525,24852,0.9197,0.2047,5518.0,0.253
15224,佐渡市,50652,21531,4435,311.0,21457,50522,17334,0.8078,40311,0.7979,18556,0.8648,0.3268,7166.0,0.405
19206,大月市,22583,9107,1240,470.0,9107,22583,7346,0.8066,18020,0.7979,8429,0.9256,0.3438,3126.0,0.426
07461,西郷村,20833,5131,1162,283.0,5131,20833,4138,0.8065,15773,0.7571,4985,0.9715,0.2126,1103.0,0.264
25214,米原市,37221,11052,1562,453.0,11052,37221,8912,0.8064,27723,0.7448,10108,0.9146,0.3182,3519.0,0.395
07543,富岡町,2127,480,329,93.0,480,2127,387,0.8063,1659,0.78,452,0.9417,0.1029,50.0,0.128
36387,美波町,6163,3035,499,389.0,3015,6126,2431,0.8063,4900,0.7999,2590,0.859,0.4127,1267.0,0.512
46223,南九州市,33084,13267,2740,310.0,13267,33080,10697,0.8063,25958,0.7847,12457,0.9389,0.3815,5053.0,0.473
43432,西原村,6368,2014,395,326.0,2014,6368,1623,0.8059,4903,0.7699,1850,0.9186,0.1907,386.0,0.237
20446,麻績村,2573,1179,246,307.0,1179,2573,950,0.8058,1972,0.7664,985,0.8355,0.234,272.0,0.29
03208,遠野市,25364,10280,2640,249.0,10280,25364,8277,0.8052,20172,0.7953,8997,0.8752,0.2459,2529.0,0.305
01694,羅臼町,4503,1419,295,308.0,1419,4490,1142,0.8048,3499,0.7793,1396,0.9838,0.2776,412.0,0.345
01425,上砂川町,2832,1468,157,598.0,1468,2832,1180,0.8038,2300,0.8121,1468,1.0,0.506,738.0,0.629
45208,西都市,28719,10829,1911,363.0,10829,28719,8701,0.8035,22250,0.7747,9550,0.8819,0.254,2750.0,0.316
31328,智頭町,6427,2802,494,363.0,2802,6427,2251,0.8034,5140,0.7998,2516,0.8979,0.2739,767.0,0.341
46220,南さつま市,32751,12960,2297,361.0,12925,32687,10383,0.8033,24945,0.7631,11661,0.9022,0.3807,4956.0,0.474
02412,おいらせ町,24211,6677,1175,364.0,6677,24211,5363,0.8032,18435,0.7614,6411,0.9602,0.353,2355.0,0.439
24472,南伊勢町,10586,5675,693,524.0,5637,10508,4527,0.8031,8392,0.7986,4635,0.8222,0.3523,2067.0,0.439
11348,鳩山町,13659,6260,535,749.0,6260,13659,5027,0.803,10364,0.7588,5515,0.881,0.2604,1621.0,0.324
02441,三戸町,9068,3760,726,331.0,3760,9068,3018,0.8027,7012,0.7733,3333,0.8864,0.4004,1515.0,0.499
20430,大桑村,3439,1476,302,313.0,1476,3439,1184,0.8022,2706,0.7869,1184,0.8022,0.3264,484.0,0.407
01395,ニセコ町,5074,1318,541,156.0,1318,5074,1057,0.802,4218,0.8313,1174,0.8907,0.3547,464.0,0.442
38422,内子町,15317,6274,1338,300.0,6274,15317,5031,0.8019,11381,0.743,5631,0.8975,0.3054,1914.0,0.381
23445,南知多町,16439,6377,556,734.0,6321,16307,5067,0.8016,12782,0.7838,5729,0.9063,0.3104,2002.0,0.387
01464,和寒町,3192,1411,333,271.0,1411,3192,1130,0.8009,2375,0.744,1219,0.8639,0.3369,476.0,0.421
21401,揖斐川町,19463,7676,1252,392.0,7676,19463,6146,0.8007,15773,0.8104,6959,0.9066,0.2479,1865.0,0.31
01407,仁木町,3182,1276,376,217.0,1276,3182,1021,0.8002,2477,0.7784,1260,0.9875,0.4137,530.0,0.517
32501,津和野町,6884,3348,758,283.0,3348,6884,2679,0.8002,5503,0.7994,2696,0.8053,0.4121,1375.0,0.515
28227,宍粟市,34819,12646,2426,334.0,12646,34819,10115,0.7999,27124,0.779,11357,0.8981,0.3317,4195.0,0.415
15217,妙高市,30389,11328,1698,427.0,11328,30389,9059,0.7997,23500,0.7733,10436,0.9213,0.2241,2537.0,0.28
29345,安堵町,7124,2331,159,938.0,2331,7124,1864,0.7997,5814,0.8161,2278,0.9773,0.4515,1149.0,0.565
17386,宝達志水町,12163,4810,776,397.0,4810,12163,3846,0.7996,9681,0.7959,4361,0.9067,0.1606,770.0,0.201
29342,平群町,18009,7055,451,1001.0,7055,18009,5631,0.7982,14085,0.7821,5993,0.8495,0.3509,2445.0,0.44
45406,都農町,9915,3856,837,295.0,3856,9915,3077,0.798,7936,0.8004,3379,0.8763,0.221,848.0,0.277
11347,吉見町,18214,6138,999,393.0,6138,18214,4895,0.7975,14304,0.7853,5723,0.9324,0.1954,1201.0,0.245
20219,東御市,30112,9343,1536,389.0,9343,30112,7446,0.797,23689,0.7867,8506,0.9104,0.188,1755.0,0.236
06402,白鷹町,12886,4986,1115,286.0,4986,12886,3973,0.7968,10074,0.7818,4223,0.847,0.2085,1041.0,0.262
39341,本山町,3262,1563,306,327.0,1563,3262,1245,0.7965,2543,0.7796,1275,0.8157,0.3137,489.0,0.394
01632,士幌町,5855,1959,539,233.0,1959,5855,1559,0.7958,4758,0.8126,1826,0.9321,0.245,475.0,0.308
08302,茨城町,31285,10953,2484,282.0,10953,31285,8711,0.7953,24336,0.7779,10252,0.936,0.2245,2466.0,0.282
40229,みやま市,35620,13587,1970,441.0,13587,35620,10803,0.7951,27015,0.7584,12192,0.8973,0.2915,4007.0,0.367
20481,池田町,9363,3689,560,422.0,3689,9363,2931,0.7945,7291,0.7787,3538,0.9591,0.2028,752.0,0.255
39208,宿毛市,18981,7330,1141,411.0,7228,18848,5743,0.7945,14665,0.7781,6956,0.9624,0.2467,1817.0,0.31
43212,上天草市,23056,9651,1534,403.0,9600,22927,7625,0.7943,17792,0.776,8965,0.9339,0.3707,3826.0,0.467
09215,那須烏山市,24844,9306,2481,240.0,9306,24844,7389,0.794,20230,0.8143,8598,0.9239,0.2537,2368.0,0.32
01438,沼田町,2909,1242,282,282.0,1242,2909,986,0.7939,2105,0.7236,1021,0.8221,0.3242,402.0,0.408
29343,三郷町,23123,7453,289,1650.0,7453,23123,5913,0.7934,17799,0.7698,6355,0.8527,0.426,3208.0,0.537
05215,仙北市,24605,10534,2380,283.0,10534,24605,8354,0.7931,19112,0.7768,9214,0.8747,0.3384,3565.0,0.427
25442,甲良町,6347,2107,257,525.0,2107,6347,1671,0.7931,4960,0.7815,1786,0.8477,0.2879,610.0,0.363
45205,小林市,43668,16233,3374,308.0,16233,43668,12864,0.7925,33642,0.7704,15077,0.9288,0.2768,4492.0,0.349
03381,金ケ崎町,15567,4763,1553,196.0,4763,15567,3773,0.7921,12062,0.7748,4273,0.8971,0.2443,1164.0,0.308
32205,大田市,32742,13196,2886,293.0,13196,32724,10452,0.7921,24331,0.7435,11220,0.8503,0.3334,4422.0,0.421
41346,みやき町,25458,8866,1128,503.0,8866,25458,7022,0.792,19132,0.7515,8024,0.905,0.231,2043.0,0.292
20403,高森町,12822,4176,831,322.0,4176,12822,3307,0.7919,9789,0.7635,3912,0.9368,0.1894,788.0,0.239
46216,日置市,47188,16604,3068,346.0,16604,47188,13145,0.7917,35622,0.7549,14862,0.8951,0.3346,5563.0,0.423
35211,長門市,32133,14159,2225,407.0,14143,32105,11196,0.7916,24847,0.7739,12627,0.8928,0.2653,3799.0,0.335
20213,飯山市,19476,7434,1329,358.0,7434,19476,5883,0.7914,15052,0.7728,6997,0.9412,0.2062,1535.0,0.261
38214,西予市,35058,15451,2661,372.0,15451,35058,12226,0.7913,25964,0.7406,13789,0.8924,0.3573,5566.0,0.452
38442,伊方町,8213,3934,498,506.0,3934,8207,3113,0.7913,6314,0.7693,3153,0.8015,0.4479,1782.0,0.566
05212,大仙市,77647,29923,6219,308.0,29923,77647,23674,0.7912,57956,0.7464,26646,0.8905,0.3171,9471.0,0.401
04362,山元町,12036,4944,940,337.0,4944,12036,3911,0.7911,9444,0.7846,4795,0.9699,0.2718,1344.0,0.344
07541,広野町,5408,1542,398,248.0,1542,5408,1219,0.7905,4241,0.7842,1542,1.0,0.3637,567.0,0.46
28224,南あわじ市,43946,15969,2882,355.0,15969,43946,12618,0.7902,34194,0.7781,14351,0.8987,0.4053,6467.0,0.513
02307,外ヶ浜町,5158,2616,386,434.0,2606,5137,2059,0.7901,4162,0.8102,2354,0.9033,0.5458,1501.0,0.691
05209,鹿角市,29082,11838,2042,371.0,11838,29082,9350,0.7898,22779,0.7833,10819,0.9139,0.3714,4398.0,0.47
12237,山武市,48408,17360,3309,336.0,17360,48408,13710,0.7897,37618,0.7771,15781,0.909,0.1908,3307.0,0.242
33210,新見市,28088,11614,2994,248.0,11614,28088,9164,0.789,20897,0.744,10472,0.9017,0.3528,4095.0,0.447
27382,河南町,15629,4884,411,761.0,4884,15629,3848,0.7879,11961,0.7653,4244,0.869,0.4566,2238.0,0.58
43424,小国町,6621,2781,654,272.0,2781,6621,2190,0.7875,5250,0.7929,2468,0.8875,0.2811,780.0,0.357
25425,愛荘町,20893,4595,687,428.0,4595,20893,3618,0.7874,15763,0.7545,4164,0.9062,0.3091,1420.0,0.393
29361,川西町,8214,2826,195,928.0,2826,8214,2225,0.7873,6200,0.7548,2372,0.8393,0.3123,877.0,0.397
35305,周防大島町,14460,7887,1222,413.0,7875,14400,6195,0.7867,11336,0.7872,7307,0.9279,0.3909,3155.0,0.497
29442,大淀町,16713,5783,644,575.0,5783,16713,4548,0.7864,13958,0.8352,5053,0.8738,0.2607,1508.0,0.332
43441,御船町,16256,5626,904,398.0,5626,16256,4424,0.7863,12231,0.7524,5157,0.9166,0.2804,1588.0,0.357
28585,香美町,16001,6507,891,467.0,6507,15998,5115,0.7861,12143,0.759,5186,0.797,0.3892,2542.0,0.495
33461,矢掛町,13432,5189,1073,310.0,5189,13432,4076,0.7855,10455,0.7784,4391,0.8462,0.2851,1485.0,0.363
40647,築上町,17173,6564,1120,375.0,6564,17173,5156,0.7855,13274,0.773,6293,0.9587,0.3552,2332.0,0.452
01343,鹿部町,3752,1516,292,332.0,1516,3752,1190,0.785,2813,0.7497,1353,0.8925,0.3396,515.0,0.433
07408,猪苗代町,13546,5372,872,394.0,5372,13546,4212,0.7841,10439,0.7706,4750,0.8842,0.2225,1193.0,0.284
07303,国見町,8593,3626,588,395.0,3626,8593,2842,0.7838,6370,0.7413,3287,0.9065,0.2247,818.0,0.287
07447,会津美里町,19051,7528,1036,465.0,7528,19051,5898,0.7835,14391,0.7554,7009,0.9311,0.2033,1530.0,0.259
08215,北茨城市,41771,14335,1931,475.0,14335,41763,11232,0.7835,31655,0.758,13194,0.9204,0.2883,4133.0,0.368
21220,下呂市,30428,12299,2282,345.0,12299,30428,9636,0.7835,23785,0.7817,10549,0.8577,0.3569,4389.0,0.456
08231,桜川市,39175,13516,2924,296.0,13516,39175,10588,0.7834,30128,0.7691,12875,0.9526,0.1859,2496.0,0.237
27381,太子町,13073,3865,243,1018.0,3865,13073,3027,0.7832,9660,0.7389,3354,0.8678,0.3792,1458.0,0.484
40605,川崎町,15204,5917,701,540.0,5917,15204,4634,0.7832,11886,0.7818,5162,0.8724,0.328,1946.0,0.419
29402,明日香村,5199,2135,291,470.0,2135,5199,1672,0.7831,4087,0.7861,1926,0.9021,0.3199,682.0,0.408
10521,板倉町,14028,4724,848,357.0,4724,14027,3699,0.783,10612,0.7565,4452,0.9424,0.2076,983.0,0.265
08223,潮来市,27607,9084,1372,424.0,9084,27607,7112,0.7829,21521,0.7795,8366,0.921,0.2355,2138.0,0.301
03213,二戸市,25513,9511,1805,337.0,9511,25513,7443,0.7826,19179,0.7517,8825,0.9279,0.2944,2800.0,0.376
25209,甲賀市,88371,24938,3447,463.0,24938,88371,19516,0.7826,68201,0.7718,23050,0.9243,0.3324,8279.0,0.425
39202,室戸市,11642,5997,759,506.0,5990,11629,4688,0.7826,9037,0.7771,5220,0.8715,0.3316,2003.0,0.424
10523,千代田町,10875,3395,559,389.0,3395,10875,2655,0.782,8319,0.765,3184,0.9378,0.1862,628.0,0.238
21503,川辺町,10090,3312,511,415.0,3312,10090,2590,0.782,8314,0.824,3129,0.9447,0.2703,854.0,0.346
26365,和束町,3476,1651,289,366.0,1651,3476,1291,0.782,2639,0.7592,1401,0.8486,0.2549,422.0,0.326
03209,一関市,111939,41318,11844,223.0,41318,111939,32283,0.7813,84282,0.7529,36051,0.8725,0.2211,9134.0,0.283
11381,美里町,10948,3710,685,347.0,3710,10948,2898,0.7811,8483,0.7748,3322,0.8954,0.1834,682.0,0.235
24211,鳥羽市,16913,6702,690,622.0,6702,16905,5235,0.7811,13184,0.7799,5798,0.8651,0.3087,2125.0,0.395
42213,雲仙市,40555,14572,2474,377.0,14552,40504,11367,0.7811,31703,0.7827,12770,0.8775,0.4198,6162.0,0.537
07483,塙町,8299,3171,813,250.0,3171,8299,2475,0.7805,6402,0.7714,2873,0.906,0.2009,642.0,0.257
30344,高野町,2970,1202,230,334.0,1202,2970,937,0.7795,2247,0.7566,953,0.7928,0.4931,602.0,0.633
35344,平生町,11874,5123,650,504.0,5123,11872,3993,0.7794,8664,0.7298,4796,0.9362,0.2178,1119.0,0.279
17407,中能登町,16546,6162,1008,391.0,6162,16546,4800,0.779,12554,0.7587,5755,0.934,0.2097,1289.0,0.269
43468,氷川町,11046,4278,695,394.0,4278,11046,3332,0.7789,8711,0.7886,3710,0.8672,0.3066,1318.0,0.394
04404,七ヶ浜町,18134,5666,416,872.0,5655,18091,4401,0.7782,13712,0.7579,5427,0.9597,0.2545,1436.0,0.327
17204,輪島市,24442,11255,1941,371.0,11246,24430,8751,0.7781,18350,0.7511,10268,0.913,0.3178,3599.0,0.408
02425,風間浦村,1598,748,110,435.0,721,1569,561,0.7781,1251,0.7973,561,0.7781,0.5751,435.0,0.739
19365,身延町,10661,5062,1002,323.0,5062,10661,3937,0.7778,8226,0.7716,4340,0.8574,0.34,1722.0,0.437
30362,広川町,6729,2390,391,391.0,2390,6729,1859,0.7778,5136,0.7633,2385,0.9979,0.3671,886.0,0.472
05303,小坂町,4785,2149,368,374.0,2149,4785,1671,0.7776,3545,0.7409,1901,0.8846,0.3896,836.0,0.501
17463,能登町,15374,7742,1524,325.0,7728,15362,6006,0.7772,11614,0.756,6404,0.8287,0.2416,1911.0,0.311
31371,琴浦町,16343,6028,855,451.0,6028,16343,4684,0.777,12646,0.7738,5185,0.8602,0.2327,1403.0,0.299
40348,久山町,9088,2472,304,520.0,2472,9088,1920,0.7767,6921,0.7616,2278,0.9215,0.2901,717.0,0.374
05211,潟上市,31702,11220,1330,540.0,11220,31702,8706,0.7759,23827,0.7516,10503,0.9361,0.3696,4147.0,0.476
36468,つるぎ町,7712,3586,860,267.0,3586,7712,2782,0.7758,5770,0.7482,3036,0.8466,0.3812,1371.0,0.491
01667,鶴居村,2558,914,330,177.0,914,2558,709,0.7757,1817,0.7103,788,0.8621,0.271,247.0,0.349
45207,串間市,16803,7187,1208,381.0,7174,16792,5565,0.7757,12465,0.7423,5712,0.7962,0.3103,2232.0,0.4
07481,棚倉町,13355,4262,822,332.0,4262,13355,3305,0.7755,10041,0.7519,3804,0.8925,0.1776,756.0,0.229
15223,阿賀野市,40726,14034,1881,477.0,14034,40726,10868,0.7744,30760,0.7553,12982,0.925,0.1349,1891.0,0.174
30366,有田川町,25272,8339,1673,319.0,8339,25272,6458,0.7744,17488,0.692,7360,0.8826,0.3168,2638.0,0.409
37208,三豊市,61816,22547,4056,356.0,22524,61721,17440,0.7743,47326,0.7668,19886,0.8829,0.1882,4247.0,0.243
40225,うきは市,28009,9863,1371,460.0,9863,28009,7632,0.7738,21217,0.7575,8806,0.8928,0.2665,2632.0,0.344
34368,安芸太田町,5775,3014,821,235.0,3014,5775,2331,0.7734,4457,0.7718,2770,0.919,0.3596,1075.0,0.465
20482,松川村,9615,3298,623,339.0,3298,9615,2550,0.7732,7452,0.775,3036,0.9206,0.1945,643.0,0.252
33212,瀬戸内市,35878,12378,1751,452.0,12356,35858,9551,0.773,26647,0.7431,11244,0.91,0.3186,3957.0,0.412
42214,南島原市,41978,16954,2940,369.0,16917,41899,13075,0.7729,32420,0.7738,14014,0.8284,0.4368,7473.0,0.565
21383,安八町,14443,4112,584,451.0,4112,14443,3177,0.7726,9727,0.6735,3590,0.8731,0.1973,811.0,0.255
08542,五霞町,8097,2725,524,333.0,2725,8097,2105,0.7725,6169,0.7619,2725,1.0,0.2306,630.0,0.299
04322,村田町,10612,3762,918,262.0,3762,10612,2905,0.7722,8262,0.7786,3220,0.8559,0.2386,903.0,0.309
07466,矢吹町,17332,5451,973,359.0,5451,17332,4209,0.7722,13178,0.7603,4941,0.9064,0.2074,1126.0,0.269
03207,久慈市,33056,11025,2396,294.0,11025,33056,8513,0.7722,24656,0.7459,10013,0.9082,0.3157,3475.0,0.409
39410,日高村,4835,2080,409,325.0,2080,4835,1605,0.7716,3757,0.777,1809,0.8697,0.1775,368.0,0.23
33209,高梁市,29072,11925,3228,236.0,11925,29072,9195,0.7711,20543,0.7066,10881,0.9125,0.4531,5394.0,0.588
21505,八百津町,10211,4118,856,308.0,4118,10211,3174,0.7708,7833,0.7671,3632,0.882,0.2777,1138.0,0.36
11361,横瀬町,7974,2626,394,427.0,2626,7974,2023,0.7704,6065,0.7606,2522,0.9604,0.2305,625.0,0.299
20415,喬木村,5976,2128,397,343.0,2128,5976,1639,0.7702,4555,0.7622,2064,0.9699,0.1704,362.0,0.221
41327,吉野ヶ里町,16492,4036,541,477.0,4036,16492,3108,0.7701,12223,0.7411,3665,0.9081,0.2132,846.0,0.277
06381,高畠町,22455,7594,1360,357.0,7594,22455,5847,0.7699,17061,0.7598,6312,0.8312,0.1939,1473.0,0.252
08214,高萩市,27714,9916,1040,610.0,9916,27714,7634,0.7699,21068,0.7602,8595,0.8668,0.2918,2889.0,0.379
21207,美濃市,19227,6961,922,483.0,6961,19227,5357,0.7696,14265,0.7419,6182,0.8881,0.2576,1796.0,0.335
06324,大江町,7632,3035,467,416.0,3035,7632,2335,0.7694,5883,0.7708,3035,1.0,0.225,683.0,0.292
15482,津南町,9019,3787,687,353.0,3787,9019,2909,0.7682,6935,0.7689,3220,0.8503,0.3171,1194.0,0.413
21502,富加町,5655,1813,277,419.0,1813,5655,1392,0.7678,4257,0.7528,1670,0.9211,0.2516,457.0,0.328
15227,胎内市,28518,10267,1254,524.0,10267,28518,7882,0.7677,20505,0.719,9372,0.9128,0.198,2031.0,0.258
12426,長柄町,6644,2878,786,234.0,2878,6644,2209,0.7675,5798,0.8727,2878,1.0,0.1772,525.0,0.231
15226,南魚沼市,54851,18394,2875,409.0,18394,54851,14116,0.7674,40823,0.7443,16148,0.8779,0.2289,4209.0,0.298
40227,嘉麻市,35363,14331,1753,523.0,14331,35363,10990,0.7669,27274,0.7713,13228,0.923,0.3204,4595.0,0.418
06428,庄内町,20143,7590,905,537.0,7590,20143,5820,0.7668,15261,0.7576,6586,0.8677,0.2049,1553.0,0.267
36207,美馬市,28037,10933,2366,296.0,10933,28037,8379,0.7664,21052,0.7509,9947,0.9098,0.31,3395.0,0.404
20429,王滝村,715,308,95,207.0,308,715,236,0.7662,578,0.8084,236,0.7662,0.3894,120.0,0.508
30381,美浜町,6850,2580,266,621.0,2580,6850,1976,0.7659,5234,0.7641,2499,0.9686,0.3215,825.0,0.42
41401,有田町,19000,6718,930,462.0,6718,19000,5144,0.7657,14203,0.7475,5867,0.8733,0.2352,1580.0,0.307
32204,益田市,44927,17014,2810,388.0,17014,44925,13019,0.7652,32827,0.7307,14597,0.8579,0.3179,5410.0,0.416
01608,様似町,4014,1703,307,355.0,1703,4014,1303,0.7651,3026,0.7539,1449,0.8509,0.2784,476.0,0.364
05214,にかほ市,23390,9137,910,643.0,9137,23388,6989,0.7649,17162,0.7338,7619,0.8339,0.3116,2848.0,0.407
24216,伊賀市,89016,29010,4231,439.0,29010,89016,22187,0.7648,64028,0.7193,25786,0.8889,0.2474,7157.0,0.323
09211,矢板市,31182,10323,1862,355.0,10323,31182,7893,0.7646,22272,0.7143,9180,0.8893,0.2499,2583.0,0.327
26212,京丹後市,50697,19245,2856,431.0,19245,50697,14714,0.7646,37701,0.7437,16032,0.833,0.2928,5649.0,0.383
28226,淡路市,41508,16120,2958,349.0,16120,41500,12315,0.764,30337,0.731,13600,0.8437,0.4573,7439.0,0.599
36208,三好市,23624,10896,2358,296.0,10896,23624,8325,0.764,17417,0.7373,9437,0.8661,0.3613,3927.0,0.473
42211,五島市,33881,13775,2282,386.0,13669,33635,10441,0.7638,24342,0.7237,12054,0.8818,0.5258,7363.0,0.688
12236,香取市,72443,26660,4743,360.0,26660,72443,20356,0.7635,53521,0.7388,23945,0.8982,0.1728,4607.0,0.226
02426,佐井村,1775,858,115,477.0,858,1775,655,0.7634,1326,0.747,655,0.7634,0.5713,490.0,0.748
42207,平戸市,28982,11996,2647,290.0,11903,28797,9087,0.7634,21580,0.7494,10333,0.8681,0.4573,5557.0,0.599
41424,江北町,9565,2731,488,358.0,2731,9565,2083,0.7627,6270,0.6555,2653,0.9714,0.2113,575.0,0.277
44213,由布市,32731,11177,2180,328.0,11177,32731,8525,0.7627,24060,0.7351,9772,0.8743,0.2565,2872.0,0.336
28209,豊岡市,77350,26473,3484,486.0,26473,77350,20177,0.7622,56289,0.7277,23012,0.8693,0.3458,9170.0,0.454
43428,高森町,5785,2498,589,271.0,2498,5785,1904,0.7622,4039,0.6982,2034,0.8143,0.3346,837.0,0.439
45402,新富町,16532,5223,986,339.0,5223,16532,3981,0.7622,11580,0.7005,4787,0.9165,0.1994,1048.0,0.262
32206,安来市,37080,13834,2418,366.0,13834,37080,10533,0.7614,27620,0.7449,12622,0.9124,0.2208,3055.0,0.29
08216,笠間市,73077,23406,4368,343.0,23406,73077,17795,0.7603,54615,0.7474,21923,0.9366,0.261,6114.0,0.343
27361,熊取町,43619,12428,573,1388.0,12428,43619,9444,0.7599,31034,0.7115,11587,0.9323,0.3909,4865.0,0.514
20422,上松町,4127,1763,317,356.0,1763,4127,1339,0.7595,3173,0.7688,1497,0.8491,0.319,559.0,0.42
20402,松川町,12520,4339,923,301.0,4339,12520,3295,0.7594,9475,0.7568,3908,0.9007,0.1488,643.0,0.196
01649,浦幌町,4387,1844,487,242.0,1844,4387,1400,0.7592,3203,0.7301,1583,0.8585,0.1801,336.0,0.237
06401,小国町,7107,2882,587,314.0,2882,7107,2188,0.7592,5361,0.7543,2311,0.8019,0.3347,965.0,0.441
13361,大島町,7095,2713,752,231.0,2713,7095,2059,0.7589,5493,0.7742,2233,0.8231,0.5547,1505.0,0.731
02361,藤崎町,14483,4766,631,483.0,4766,14483,3613,0.7581,11106,0.7668,4212,0.8838,0.3751,1799.0,0.495
03483,岩泉町,8726,3852,1095,225.0,3852,8726,2920,0.758,6497,0.7446,3203,0.8315,0.3872,1496.0,0.511
01549,訓子府町,4692,1817,534,218.0,1817,4692,1377,0.7578,3663,0.7807,1689,0.9296,0.2449,448.0,0.323
36404,板野町,13187,4392,594,473.0,4392,13187,3328,0.7577,9852,0.7471,4111,0.936,0.3021,1322.0,0.399
46505,屋久島町,11791,4283,1002,274.0,4283,11787,3245,0.7576,9183,0.7791,3658,0.8541,0.4741,2046.0,0.626
20561,山ノ内町,11352,4766,659,463.0,4766,11352,3610,0.7574,8581,0.7559,4338,0.9102,0.2448,1166.0,0.323
11365,小鹿野町,10925,4241,933,291.0,4241,10925,3212,0.7574,7933,0.7261,3851,0.908,0.218,926.0,0.288
36204,阿南市,69194,23026,3748,393.0,22983,69109,17401,0.7571,49891,0.7219,20440,0.8894,0.2825,6535.0,0.373
39402,佐川町,12294,5039,880,366.0,5039,12294,3812,0.7565,9083,0.7388,4120,0.8176,0.2208,1117.0,0.292
28228,加東市,40701,10979,2055,342.0,10979,40701,8305,0.7564,27348,0.6719,9837,0.896,0.3778,4064.0,0.499
03321,紫波町,32060,10110,2490,260.0,10110,32060,7647,0.7564,22687,0.7076,9451,0.9348,0.1676,1691.0,0.222
11363,長瀞町,6795,2698,432,400.0,2698,6795,2040,0.7561,5070,0.7461,2415,0.8951,0.1996,538.0,0.264
10421,中之条町,15404,6302,1260,320.0,6302,15404,4763,0.7558,11063,0.7182,5589,0.8869,0.2516,1584.0,0.333
01641,大樹町,5420,1976,464,273.0,1976,5420,1493,0.7556,4029,0.7434,1786,0.9038,0.2798,555.0,0.37
33211,備前市,32117,12666,1690,480.0,12666,32105,9569,0.7555,24659,0.7681,11146,0.88,0.3337,4248.0,0.442
07214,本宮市,30210,8582,1812,303.0,8582,30210,6480,0.7551,23275,0.7704,7970,0.9287,0.173,1484.0,0.229
20323,御代田町,15549,4307,760,363.0,4307,15549,3252,0.755,11510,0.7402,3842,0.892,0.2634,1139.0,0.349
39428,黒潮町,10170,4568,703,416.0,4568,10167,3449,0.755,7903,0.7773,3538,0.7745,0.272,1255.0,0.36
08226,那珂市,53652,17234,2893,381.0,17234,53652,13006,0.7547,39021,0.7273,15803,0.917,0.255,4385.0,0.338
15342,弥彦村,7786,2497,351,455.0,2497,7786,1884,0.7545,5691,0.7309,2497,1.0,0.1477,365.0,0.196
28381,稲美町,30245,9717,1185,525.0,9717,30245,7327,0.754,22042,0.7288,9025,0.9288,0.3489,3390.0,0.463
05213,北秋田市,30198,13440,1904,452.0,13440,30198,10133,0.7539,22430,0.7428,11984,0.8917,0.4026,5410.0,0.534
25212,高島市,46377,16641,2493,427.0,16641,46377,12545,0.7539,33538,0.7232,15415,0.9263,0.383,6375.0,0.508
40214,豊前市,24355,9140,1344,435.0,9140,24355,6891,0.7539,18055,0.7413,8356,0.9142,0.3462,3160.0,0.459
