店舗集合,圏外65歳以上人口,総65歳以上人口,圏外率,前段からの削減人数
S1_supermarketのみ,908111,1107739,0.8198,
S2_+convenience,714305,1107739,0.6448,193806
S3_+drugstore,689202,1107739,0.6222,25103
S4_全カテゴリ,636272,1107739,0.5744,52930
