店舗集合,圏外65歳以上人口,総65歳以上人口,圏外率,前段からの削減人数
S1_supermarketのみ,26338279,35314481,0.7458,
S2_+convenience,18422690,35314481,0.5217,7915589
S3_+drugstore,17464344,35314481,0.4945,958346
S4_全カテゴリ,16118542,35314481,0.4564,1345802
