店舗集合,圏外65歳以上人口,総65歳以上人口,圏外率,前段からの削減人数
S1_supermarketのみ,23997021,35306031,0.6797,
S2_+convenience,16349979,35306031,0.4631,7647042
S3_+drugstore,15477196,35306031,0.4384,872783
S4_全カテゴリ,15237604,35306031,0.4316,239592
