都道府県コード,市区町村数,総人口,総65歳以上人口,圏外65歳以上人口_変種D,圏外率_変種D,圏外総人口_変種D,圏外率_変種D_総人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外率_変種A_総人口,圏外率_変種C125,農水省_困難人口割合,比_農水省÷変種D,比_農水省÷変種A,比Dの中央値,比Dのsd,相関rD,相関rA,比Dが1超の市区町村,比が1超の市区町村,比C125が1超の市区町村
32,19,670131,227546,153824,0.6763,411726,0.6147,168253,0.7394,0.688,0.5536,0.2914,0.431,0.394,0.452,0.105,0.686,0.618,0,0,0
03,33,1210448,404377,261625,0.647,710100,0.5867,289047,0.7148,0.6619,0.5271,0.2481,0.383,0.347,0.357,0.093,0.201,0.189,0,0,1
05,25,959391,357551,224359,0.6275,557891,0.5815,251169,0.7025,0.659,0.5014,0.3381,0.539,0.481,0.488,0.085,0.501,0.336,0,0,1
41,20,810965,246100,151410,0.6155,456254,0.5628,167848,0.682,0.6373,0.4522,0.2312,0.376,0.339,0.304,0.097,-0.429,-0.375,0,0,1
46,43,1585594,504904,308347,0.611,846702,0.5342,334685,0.6629,0.593,0.4777,0.341,0.558,0.514,0.539,0.085,0.776,0.76,0,0,1
20,77,2048003,646950,391175,0.6046,1163338,0.568,448394,0.6931,0.6603,0.4485,0.2201,0.364,0.318,0.3,0.11,0.195,0.209,0,0,0
36,24,718972,238124,141738,0.5955,394815,0.5494,158965,0.6676,0.62,0.4534,0.2995,0.503,0.449,0.462,0.116,0.544,0.541,0,0,3
07,58,1833164,572794,339643,0.593,1000090,0.5456,386281,0.6744,0.6338,0.4624,0.229,0.386,0.34,0.269,0.127,0.178,0.101,0,0,0
35,19,1339523,458936,271072,0.5915,722857,0.5401,302956,0.6601,0.6123,0.4294,0.2315,0.392,0.351,0.371,0.082,0.534,0.499,0,0,0
08,44,2866332,839756,494406,0.5888,1528396,0.5332,573462,0.6829,0.6397,0.4323,0.2641,0.449,0.387,0.367,0.171,-0.356,-0.372,0,0,8
