市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
27383,千早赤阪村,2153,2117,0.9833,2150,2008,0.9327,0.413,922.0,0.42,0.443
06363,舟形町,2073,2037,0.9826,2073,1763,0.8505,0.2376,500.0,0.242,0.279
26364,笠置町,590,579,0.9814,579,485,0.822,0.3634,211.0,0.37,0.442
03506,九戸村,2383,2333,0.979,2383,2264,0.9501,0.2612,621.0,0.267,0.275
39387,仁淀川町,2673,2616,0.9787,2673,2635,0.9858,0.3893,1045.0,0.398,0.395
20350,長和町,2388,2336,0.9782,2388,2147,0.8991,0.2271,540.0,0.232,0.253
18483,おおい町,2540,2483,0.9776,2492,2156,0.8488,0.458,1167.0,0.468,0.54
45442,日之影町,1629,1592,0.9773,1618,1563,0.9595,0.3362,557.0,0.344,0.35
41441,太良町,3150,3075,0.9762,3150,2940,0.9333,0.2075,655.0,0.213,0.222
06367,戸沢村,1708,1664,0.9742,1708,1583,0.9268,0.2317,395.0,0.238,0.25
10383,南牧村,1043,1016,0.9741,1016,1008,0.9664,0.3851,405.0,0.395,0.399
02443,田子町,2197,2139,0.9736,2197,1830,0.833,0.4304,939.0,0.442,0.517
07484,鮫川村,1240,1207,0.9734,1240,1172,0.9452,0.1279,156.0,0.131,0.135
20410,根羽村,450,438,0.9733,450,427,0.9489,0.3809,170.0,0.391,0.401
30422,太地町,1253,1219,0.9729,1253,1149,0.917,0.4981,623.0,0.512,0.543
29449,十津川村,1313,1277,0.9726,1313,1188,0.9048,0.4221,551.0,0.434,0.467
43423,南小国町,1506,1463,0.9714,1466,1409,0.9356,0.3641,550.0,0.375,0.389
35502,阿武町,1494,1451,0.9712,1494,1350,0.9036,0.307,467.0,0.316,0.34
43425,産山村,589,572,0.9711,572,517,0.8778,0.3204,190.0,0.33,0.365
06366,鮭川村,1578,1532,0.9708,1578,1521,0.9639,0.1955,309.0,0.201,0.203
02411,六ヶ所村,2645,2562,0.9686,2620,2352,0.8892,0.4825,1263.0,0.498,0.543
20588,小川村,1015,983,0.9685,983,950,0.936,0.3122,318.0,0.322,0.334
29453,東吉野村,880,852,0.9682,880,814,0.925,0.3848,337.0,0.397,0.416
44461,九重町,3878,3752,0.9675,3783,3565,0.9193,0.2682,1035.0,0.277,0.292
10444,川場村,1565,1514,0.9674,1565,1444,0.9227,0.1623,254.0,0.168,0.176
31386,大山町,6184,5978,0.9667,6099,5571,0.9009,0.2596,1608.0,0.269,0.288
20452,筑北村,1911,1845,0.9655,1911,1651,0.8639,0.2659,513.0,0.275,0.308
46501,中種子町,2956,2854,0.9655,2854,2597,0.8786,0.4522,1342.0,0.468,0.515
33681,吉備中央町,4532,4375,0.9654,4422,4035,0.8903,0.3502,1586.0,0.363,0.393
34545,神石高原町,4065,3924,0.9653,4025,3808,0.9368,0.3054,1239.0,0.316,0.326
43433,南阿蘇村,4202,4055,0.965,4176,3681,0.876,0.298,1252.0,0.309,0.34
12426,長柄町,2878,2777,0.9649,2878,2397,0.8329,0.1772,525.0,0.184,0.213
