店舗集合,圏外65歳以上人口,総65歳以上人口,圏外率,前段からの削減人数
S1_supermarketのみ,922590,1107739,0.8329,
S2_+convenience,739979,1107739,0.668,182611
S3_+drugstore,727414,1107739,0.6567,12565
S4_全カテゴリ,691195,1107739,0.624,36219
