市区町村コード,市区町村名,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
27214,富田林市,32956,1349,1564.0,16672,0.5059,24107,5810,0.1763,0.3567,11694.0,0.705,2.023
42308,時津町,8177,505,1036.0,4130,0.5051,6647,1580,0.1932,0.2994,2353.0,0.593,1.549
29210,香芝市,18556,958,1240.0,9349,0.5038,14253,3542,0.1909,0.2795,5151.0,0.555,1.464
42201,長崎市,131704,6660,1266.0,66311,0.5035,94427,38183,0.2899,0.4091,54245.0,0.812,1.411
29201,奈良市,110273,5114,1380.0,55445,0.5028,87169,23776,0.2156,0.3312,36501.0,0.659,1.536
42205,大村市,23846,2412,633.0,11990,0.5028,18908,6119,0.2566,0.3407,8189.0,0.678,1.328
01235,石狩市,19368,1443,859.0,9707,0.5012,16506,3356,0.1733,0.2292,4448.0,0.457,1.323
40217,筑紫野市,26465,1563,1084.0,13217,0.4994,20658,5890,0.2226,0.2978,7867.0,0.596,1.338
14341,大磯町,10811,525,1318.0,5398,0.4993,7775,1809,0.1673,0.3744,4063.0,0.75,2.237
14366,開成町,4748,300,1013.0,2367,0.4985,3297,1449,0.3052,0.2633,1256.0,0.528,0.863
13228,あきる野市,23894,1274,1200.0,11898,0.4979,19571,4764,0.1994,0.386,9183.0,0.775,1.936
22212,焼津市,40836,2881,907.0,20331,0.4979,30199,8894,0.2178,0.2574,10520.0,0.517,1.182
40349,粕屋町,8600,522,1054.0,4279,0.4976,6575,1064,0.1237,0.2733,2327.0,0.549,2.209
01213,苫小牧市,50001,2763,1158.0,24858,0.4972,41125,9515,0.1903,0.2218,11097.0,0.446,1.166
18201,福井市,75812,5983,811.0,37649,0.4966,62013,20995,0.2769,0.2826,21420.0,0.569,1.02
28201,姫路市,142302,9061,1005.0,70554,0.4958,112112,34772,0.2444,0.3343,47612.0,0.674,1.368
13303,瑞穂町,9442,540,1119.0,4677,0.4953,8169,1459,0.1545,0.424,4035.0,0.856,2.744
22424,吉田町,7461,755,632.0,3678,0.493,5464,1330,0.1783,0.2331,1740.0,0.473,1.307
47213,うるま市,27969,2029,882.0,13735,0.4911,21475,6038,0.2159,0.2207,6190.0,0.449,1.022
22210,富士市,69319,4506,985.0,33926,0.4894,55481,14035,0.2025,0.2396,16607.0,0.49,1.183
11215,狭山市,47651,1830,1666.0,23317,0.4893,38430,7238,0.1519,0.299,14248.0,0.611,1.968
11232,久喜市,45910,3178,925.0,22353,0.4869,37043,9057,0.1973,0.2556,11781.0,0.525,1.296
29202,大和高田市,19187,846,1451.0,9331,0.4863,15197,3270,0.1704,0.3002,5800.0,0.617,1.762
23362,扶桑町,9086,537,1083.0,4413,0.4857,7605,1933,0.2127,0.3267,2938.0,0.673,1.536
04216,富谷市,10994,786,895.0,5336,0.4854,9402,1427,0.1298,0.233,2597.0,0.48,1.795
07202,会津若松市,36325,2870,810.0,17626,0.4852,27536,9278,0.2554,0.2332,8465.0,0.481,0.913
