市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
04445,加美町,8142,5291,0.6498,6914,3979,0.4887,0.2007,1633.0,0.309,0.411
04215,大崎市,38725,24937,0.644,33231,16657,0.4301,0.2492,9654.0,0.387,0.579
39403,越知町,2448,1571,0.6417,1650,983,0.4016,0.2633,643.0,0.41,0.656
39209,土佐清水市,6133,3764,0.6137,5045,3199,0.5216,0.3198,2002.0,0.521,0.613
39363,土佐町,1802,1105,0.6132,1133,839,0.4656,0.2306,415.0,0.376,0.495
32201,松江市,59428,35530,0.5979,46945,22589,0.3801,0.2661,15831.0,0.445,0.7
39212,香美市,10100,5960,0.5901,8279,4347,0.4304,0.325,3290.0,0.551,0.755
04214,東松島市,11608,6843,0.5895,9896,3785,0.3261,0.2627,3044.0,0.446,0.806
39206,須崎市,8368,4889,0.5842,7861,4097,0.4896,0.263,2198.0,0.45,0.537
04207,名取市,18105,10426,0.5759,14942,4935,0.2726,0.2264,4048.0,0.393,0.831
39205,土佐市,9413,5359,0.5693,8329,3727,0.3959,0.1855,1755.0,0.326,0.468
04323,柴田町,11001,6175,0.5613,9030,3091,0.281,0.2327,2567.0,0.415,0.828
39302,奈半利町,1404,782,0.557,1397,661,0.4708,0.3658,519.0,0.657,0.777
04202,石巻市,46478,25679,0.5525,37506,14504,0.3121,0.2411,11213.0,0.436,0.773
04401,松島町,5189,2807,0.541,4766,1532,0.2952,0.2977,1552.0,0.55,1.008
04404,七ヶ浜町,5666,3030,0.5348,5190,2152,0.3798,0.2545,1436.0,0.476,0.67
04321,大河原町,6568,3128,0.4762,5644,1040,0.1583,0.2221,1448.0,0.466,1.403
04203,塩竈市,17820,7461,0.4187,14982,2351,0.1319,0.261,4614.0,0.623,1.978
04216,富谷市,10994,4518,0.411,9053,1275,0.116,0.233,2597.0,0.567,2.009
04211,岩沼市,11739,4751,0.4047,10579,2267,0.1931,0.1994,2344.0,0.493,1.032
04100,仙台市,256987,91173,0.3548,183463,29280,0.1139,0.2791,71785.0,0.787,2.449
39201,高知市,95899,33901,0.3535,66988,14640,0.1527,0.2081,19955.0,0.589,1.363
04209,多賀城市,15429,5447,0.353,12396,920,0.0596,0.2527,3914.0,0.716,4.237
